filename	tod	date	plate	batch	tank	index	protein	f_batch	ModTime	Intestine_area	Food_fluo	Food_area	tsf	Food_fluo_cat	Food_fluo_cat_all	Wellfolder	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	agrp_dich	qRNA	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_A04	1.5166667	210908	1	8	18	NS002	15.395484	1	08-sep-2021 09:31:45	4045	64059.458	66	.08333333	1	1	A04	3863.5548	919198.61	0	0	1.369e+09	6682.3236	16588.05	3954.1937	1306287.8	0	0	1.351e+09	6596.1316	14891.432	3830.9248	925000.61	0	0	1.342e+09	6552.3209	16378.822	3948.5738	1308351.4	0	0	1.357e+09	6626.2883	14881.62	9/8/2021 11:31	3863.5548	919198.61	1306287.8	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-136.52682	-39019.447	21712.864	-189.51852	-204.40073	-317537.2	-.40064808	-.40064808	-.76647079	-.7985898	-.22657438	.20237619	-.86436505	-.22777673
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_B01	1.7	210908	1	8	15	NS008	12.770327	1	08-sep-2021 09:42:06	4584	28628.398	0	.26666667	1	1	B01	4004.2492	991095.58	0	0	1.362e+09	6648.607	16170.579	3847.801	1318878.8	0	0	1.321e+09	6448.4495	14553.903	3882.9088	985682.37	0	0	1.340e+09	6542.4807	16023.564	3839.8259	1323364.9	0	0	1.320e+09	6445.5496	14467.777	9/8/2021 11:42	4004.2492	991095.58	1318878.8	1	4	AB	CD15	AGRP	1	0	0	2	1	8	4.1676041	-9530.9729	-33417.057	349.48148	-261.0684	-346234.05	.13042977	.13042977	.0354786	-.0354786	-.13042977	-.50550022	-.15873981	.29791798
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_B02	1.6666667	210908	1	8	16	NS007	13.256467	1	08-sep-2021 09:40:13	4504	899075.54	849	.23333333	3	3	B02	4014.1966	995910.64	0	0	1.384e+09	6756.5799	16336.71	3695.5521	1353331.9	0	0	1.347e+09	6577.7897	15139.883	3861.0769	1044509.9	0	0	1.414e+09	6905.6179	16406.481	3703.959	1346662.6	0	0	1.340e+09	6541.8893	15080.861	9/8/2021 11:40	4014.1966	995910.64	1353331.9	0	1	AB	CD15	AGRP	1	0	0	2	1	8	14.11499	-14567.053	-3751.9368	269.48148	477.71795	440570.89	.15431865	.15431865	.08286075	-.17829594	.1066151	-.13042977	-.25101592	.22777673
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_B03	1.6333333	210908	1	8	17	NS006	15.298256	1	08-sep-2021 09:38:31	4603	1380290.7	524	.2	4	4	B03	4153.2735	1037870.5	0	0	1.569e+09	7662.9069	18094.812	4046.7457	1466590.6	0	0	1.459e+09	7126.4631	15557.664	4267.8154	1052435.3	0	0	1.594e+09	7783.3508	18161.773	4112.5909	1458725	0	0	1.454e+09	7098.382	15586.145	9/8/2021 11:38	4153.2735	1037870.5	1466590.6			AB	CD15	AGRP	1	0	0	2	1	8	153.19188	-21834.45	42564.439	368.48148	181.75554	941904.95	.67448975	.67448975	.42640697	-.40064808	.8654489	.50550022	-.13591068	.32161055
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_B04	1.6	210908	1	8	18	NS005	15.784396	1	08-sep-2021 09:36:51	5019	582106.38	416	.16666667	2	3	B04	4046.9674	993996.58	0	0	1.387e+09	6772.5597	16362.239	3908.1327	1368793.9	0	0	1.363e+09	6653.6348	14900.988	4074.516	999589.23	0	0	1.385e+09	6760.4982	16363.582	3888.5927	1381983	0	0	1.395e+09	6809.5708	15052.712	9/8/2021 11:36	4046.9674	993996.58	1368793.9	0	1	AB	CD15	AGRP	1	0	0	2	1	8	46.885757	-24727.861	-4063.5509	784.48148	145.59927	200509.72	.31242575	.3248653	.05915307	-.50550022	.20237619	-.15431865	.29791798	.96742157
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_C01	1.7166667	210908	1	8	15	NS009	14.714887	1	08-sep-2021 09:43:44	3708	223271.14	158	.28333333	2	2	C01	3687.4018	884506.23	0	0	1.251e+09	6107.2662	15913.52	3603.5245	1205679.9	0	0	1.201e+09	5863.0564	14074.703	3703.1353	884177.25	0	0	1.253e+09	6118.8881	15898.48	3571.5125	1214771.7	0	0	1.213e+09	5923.3773	14138.505	9/8/2021 11:43	3687.4018	884506.23	1205679.9	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-312.67986	-11594.809	5893.2122	-526.51852	-103.0684	-151591.3	-1.2869457	-1.2869457	-1.3430824	-.08286075	-.9737339	.01182399	-1.2612822	-.51922535
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_C02	1.75	210908	1	8	16	NS010	16.173308	1	08-sep-2021 09:45:45	4959	1488706.6	684	.31666667	4	4																																		0	1	AB	CD15	AGRP	1	0	0	2	1	8				724.48148	312.71795	1030202							.27439149	.86436505
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_C04	1.8166667	210908	1	8	18	NS011	11.409134	1	08-sep-2021 09:49:04	3903	1148854.3	471	.38333333	3	3	C04	4064.3079	890158.69	0	0	1.200e+09	5858.2291	15273.541	3924.5245	1226405.6	0	0	1.125e+09	5491.9965	13296.345	3893.8114	909478.76	0	0	1.192e+09	5820.568	15100.743	3921.6429	1208521.1	0	0	1.100e+09	5370.239	13197.803	9/8/2021 11:49	4064.3079	890158.69	1226405.6	0	1	AB	CD15	AGRP	1	0	0	2	1	8	64.226272	-134286.25	-154798.42	-331.51852	200.59927	767257.66	.42640697	.42640697	-1.2345954	-2.1930762	-.7985898	-1.5437805	-1.0041313	-.34548507
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_C05	1.8333333	210908	1	8	16	NS012	11.506362	1	08-sep-2021 09:50:45	3434	9056.4049	0	.4	1	1	C05	3604.205	918869.63	0	0	1.152e+09	5625.7208	14599.029	3594.034	1083808	0	0	1.100e+09	5371.9112	13530.13	3599.9374	944888.92	0	0	1.156e+09	5646.8779	14530.563	3590.1042	1093228.8	0	0	1.101e+09	5377.4793	13513.654	9/8/2021 11:50	3604.205	918869.63	1083808	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-395.87663	43644.988	-75933.386	-800.51852	-371.28205	-449448.24	-1.9847723	-1.9847723	-.7985898	.73512372	-2.1930762	-1.052756	-1.4941549	-.93197131
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_D01	2	210908	1	8	15	NS017	21.909762	1	08-sep-2021 10:00:16	5537	452353.92	677	.56666667	2	2	D01	4522.7389	1222517.7	0	0	1.735e+09	8470.3405	18232.818	4372.6204	1629704.6	0	0	1.587e+09	7747.6047	16014.843	4497.2282	1230502.9	0	0	1.727e+09	8431.9137	18171.318	4375.8749	1656710.8	0	0	1.635e+09	7983.2805	16178.917	9/8/2021 12:00	4522.7389	1222517.7	1629704.6	0	1	AB	CD15	AGRP	1	0	0	2	1	8	522.65729	50845.42	27842.579	1302.4815	415.9316	77491.473	1.8381674	1.8381674	1.8381674	.93642074	1.7229053	.27538708	.65337661	1.649237
