filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	arid5b_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	filename9	filename10	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_A01	10	21	1	0	0	1	0	AY001	k5	4640	7352.8931	211	0	.07080843	.92919159	4	41	2	3	2	4160.1662	963820.19	0	0	1.331e+09	6500.58	15841.147	3878.7358	1241957.4	0	0	1.317e+09	6428.8102	14342.779	4015.4071	925299.68	0	0	1.278e+09	6240.7677	15590.651	3928.4053	1255924.1	0	0	1.335e+09	6519.1397	14399.01	11/30/2021 11:18	4160.1662	963820.19	1241957.4	1	ABs	CD15	arid5b	210629	W	A01	1	0	0	1	1	1	8	159.96536	-92981.073	-126048.81	-170.56	139.44	3338.5239	.7824294	.7824294	-.4921101	-1.6729374	-.23872252	-1.6729374	-.23872252	-.04731252
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_A04	10	21	.71015946	.28984054	1	0		AY025	k5	5569	5731.5243	84	0	.02544166	.97455829	4	34	2	3	2	3873.7438	996239.62	0	0	1.580e+09	7713.0527	18107.284	3874.0989	1256791.4	0	0	1.459e+09	7125.4521	15722.48	3884.2025	962623.9	0	0	1.560e+09	7619.0202	18274.256	3879.3834	1263729.9	0	0	1.483e+09	7241.1097	15865.082	11/30/2021 11:18	3873.7438	996239.62	1256791.4		ABs	CD15	arid5b	210629	W	A04	1	0	0	1	1	1	8	-126.45705	42812.507	46484.009	758.44	12.44	1717.1551	-.43939223	-.43939223	.04731252	.7824294	-.14236406	.54623318	.23872252	.54623318
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_B01	10	22	1	0	0	1	0	AY002	k5	6319	6417.1768	118	0	.01647517	.9835248	4	26	2	3	2	4091.9189	1033892.8	0	0	1.493e+09	7292.0574	16884.093	3913.1534	1389190.7	0	0	1.534e+09	7489.5554	15576.222	4156.8328	1074357.3	0	0	1.480e+09	7228.0821	16630.55	3938.8707	1386828	0	0	1.522e+09	7432.5465	15498.632	11/30/2021 11:19	4091.9189	1033892.8	1389190.7	1	ABs	CD15	arid5b	210629	W	B01	1	0	0	1	1	1	8	91.718009	1723.0535	58760.183	1508.44	46.44	2402.8076	.38786869	.38786869	.54623318	.04731252	.65971933	.65971933	.65971933	.91824509
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_B02	10	22	1	0	0	1	0	AY010	k5	3621	765.12541	0	1	.59450155	.40549845	4	17	2	1	1	3841.4845	980508.42	0	0	1.263e+09	6165.2413	14992.621	3826.1753	1187675.8	0	0	1.242e+09	6065.6307	13820.955	4029.0438	950720.83	0	0	1.255e+09	6128.3211	15128.504	3821.9834	1195631.1	0	0	1.254e+09	6120.8903	13837.333	11/30/2021 11:19	3841.4845	980508.42	1187675.8	1	ABs	CD15	arid5b	210629	W	B02	1	0	0	1	1	1	8	-158.71636	38724.175	-4870.2178	-1189.56	-71.56	-3249.2438	-.6020065	-.6020065	-.14236406	.71971886	-.54623318	-.14236406	-.99290815	-.6020065
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_B03	10	22	.94352462	.05647538	0	1	0	AY018	k5	5534	9406.9981	270	0	.00868618	.99131387	4	18	2	4	2	4256.2372	1069392.7	0	0	1.445e+09	7057.7002	16190.661	4196.9405	1381654.1	0	0	1.478e+09	7214.773	15054.335	4238.4541	1075882.6	0	0	1.443e+09	7048.2112	16148.202	4142.1007	1382850.3	0	0	1.487e+09	7262.6092	15114.288	11/30/2021 11:19	4256.2372	1069392.7	1381654.1	1	ABs	CD15	arid5b	210629	W	B03	1	0	0	1	1	1	8	256.0363	-22082.006	-39247.025	723.44	198.44	5392.6289	1.1618829	1.1618829	.99290815	-.33735533	.6020065	-.38786869	.14236406	.4921101
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_B04	10	22	.96469281	.03530719	0	1	0	AY026	k5	4536	1013.0496	0	1	.9999994	6.424e-07	4	28	2	1	1	3758.05	1011611.9	0	0	1.232e+09	6013.5749	14447.696	3730.3209	1159413.5	0	0	1.235e+09	6028.6707	13740.332	3763.2789	986788.94	0	0	1.225e+09	5983.7979	14519.709	3758.9253	1166740.7	0	0	1.224e+09	5975.3448	13608.389	11/30/2021 11:19	3758.05	1011611.9	1159413.5	1	ABs	CD15	arid5b	210629	W	B04	1	0	0	1	1	1	8	-242.15083	99940.441	12804.914	-274.56	-71.56	-3001.3196	-1.3728103	-1.3728103	.23872252	1.906358	-.99290815	.19032227	-.33735533	-.19032227
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_C01	10	21	.42354562	.57645438	1	0	1	AY003	k5	8687	6487.7463	55	0	.04646129	.95353872	4	31	2	3	2	4469.053	1195152.6	1	12	1.935e+09	9450.2726	19993.189	4413.7691	1613494.9	0	0	1.834e+09	8956.6023	17095.72	4452.1302	1187885.1	1	5	1.883e+09	9194.4458	19604.644	4424.8812	1590705.6	0	0	1.796e+09	8771.5256	16941.908	11/30/2021 11:19	4452.1302	1187885.1	1613494.9	5	ABs	CD15	arid5b	210629	W	C01	1	0	0	1	1	1	8	451.9293	25709.704	84738.764	3876.44	-16.56	2473.3771	1.6729374	1.6729374	1.5059677	.28768888	1.6729374	1.0735624	1.6729374	2.3481302
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_C02	10	21	.9422846	.0577154	0	1	0	AY011	k5							4		2			3491.7401	796399.54	0	0	1.064e+09	5193.1696	14081.94	3372.4811	1018341.1	0	0	1.052e+09	5136.6563	12671.277	3408.2424	788892.82	0	0	1.066e+09	5202.6574	14111.558	3374.6619	1033175	0	0	1.073e+09	5239.2078	12803.244	11/30/2021 11:19	3491.7401	796399.54	1018341.1	1	ABs	CD15	arid5b	210629	W	C02	1	0	0	1	1	1	8	-508.46073	-19156.723	18357.79				-2.3481302	-2.3481302	-2.3481302	-.23872252	-1.6729374	.33735533		
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_C03	10	21	.9513916	.0486084	0	1	0	AY019	k5	6236	5521.1523	36	0	.19924283	.80075717	4	32	2	2	2	4037.4193	989510.5	0	0	1.405e+09	6860.323	16404.213	3894.9941	1305659.8	0	0	1.435e+09	7007.7723	15139.394	4039.2707	983319.7	0	0	1.384e+09	6758.592	16243.923	3884.2025	1310803.8	0	0	1.443e+09	7044.7996	15155.645	11/30/2021 11:19	4037.4193	989510.5	1305659.8	1	ABs	CD15	arid5b	210629	W	C03	1	0	0	1	1	1	8	37.218412	-22989.549	5235.7608	1425.44	-35.56	1506.7831	.33735533	.33735533	-.09473124	-.38786869	.14236406	0	.54623318	.84837993
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_C04	10	21	.94138544	.05861456	0	1	0	AY027	k5	3987	1302.5714	0	1	.99987662	.00012331	4	30	2	2	1	4317.9617	999888.31	0	0	1.339e+09	6537.3359	15626.913	4096.8092	1302609.3	0	0	1.389e+09	6783.711	14678.221	4286.307	1008292.2	0	0	1.368e+09	6677.4477	15825.498	4076.512	1305988.8	0	0	1.397e+09	6821.0022	14731	11/30/2021 11:19	4317.9617	999888.31	1302609.3	1	ABs	CD15	arid5b	210629	W	C04	1	0	0	1	1	1	8	317.76082	-113863.7	-152276.19	-823.56	-71.56	-2711.7978	1.3728103	1.3728103	.09473124	-1.906358	.09473124	-1.906358	-.54623318	-.43939223
