filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	bdnf_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1030_W_C09	12	24	1	0	0	1	0	AZ003	k5	4948	28728.133	661	0	.00024699	.99975306	2.5	7	1	4	4	3845.3752	927991.33	0	0	1.329e+09	6488.9295	16129.244	3605.9139	1196049.8	0	0	1.329e+09	6487.0406	14536.747	3710.8803	897994.38	0	0	1.306e+09	6377.7069	16160.006	3593.3849	1202360.2	0	0	1.336e+09	6523.8052	14571.152	11/30/2021 11:20	3845.3752	927991.33	1196049.8	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-122.07909	-46046.511	-72750.736	-1855.4444	255.33333	12850.689	-.55492294	-.55492294	-.7164975	-.89943491	-.89943491	-1.1189584	-.96742157	-.63748416
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1030_W_C10	12	24	.98289847	.01710153	0	1	0	AZ009	k5	7937	15192.625	487	0	.00189232	.99810767	2.5	8	1	3	4	3917.3088	976171.88	0	0	1.418e+09	6925.4563	16746.248	3802.685	1301203.6	0	0	1.502e+09	7336.1595	15697.767	4036.2376	1006198.7	0	0	1.434e+09	7002.3747	16692.431	3785.655	1300455.9	0	0	1.511e+09	7376.1377	15820.255	11/30/2021 11:20	3917.3088	976171.88	1301203.6	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-50.145487	-33638.411	-14431.139	1133.5556	81.333333	-684.81859	.13231285	.13231285	-.13231285	-.55492294	-.13231285	-.40672425	.36610636	.36610636
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1030_W_E09	12	24	.97874757	.02125243	.30470348	.69529652		AZ004	k5	6037	11557.416	364	0	.00101241	.99898762	2.5	12	1	2	3	3699.0142	882083.74	0	0	1.326e+09	6475.4274	16615.253	3604.7194	1188483.3	0	0	1.286e+09	6281.1655	14508.566	3517.2396	849305.42	0	0	1.251e+09	6108.3992	16103.463	3599.1397	1187376.7	0	0	1.326e+09	6473.8225	14907.616	11/30/2021 11:20	3699.0142	882083.74	1188483.3		ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-268.44014	-19169.04	14974.839	-766.44444	-41.666667	-4320.0276	-.89943491	-.89943491	-1.1189584	-.26699413	-1.1189584	-.13231285	-.24104039	-.24104039
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1030_W_E10	12	24	1	0	0	1	0	AZ011	k5	10803	9783.2816	124	0	.00102554	.99897444	2.5	13	1	1	3	4377.491	1299798	1	10	1.946e+09	9503.6906	19222.946	4356.4249	1669541	0	0	1.953e+09	9535.2419	17626.142	4387.7407	1300396.1	1	10	1.937e+09	9459.9036	19158.283	4344.3393	1682520.8	0	0	1.967e+09	9605.54	17662.45	11/30/2021 11:20	4377.491	1299798	1669541	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	410.0367	61139.976	54292.874	3999.5556	-281.66667	-6094.162	1.4121876	1.4121876	1.4121876	1.1189584	1.4121876	1.1189584	1.1797611	1.4652338
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1030_W_E11	12	24	.98214517	.01785483	0	1	0	AZ017	k5	4413	7148.0253	208	0	.00421594	.99578398	2.5	14	1	1	2	3601.0338	870539.55	0	0	1.247e+09	6086.5948	15587.364	3609.9715	1137341.9	0	0	1.281e+09	6253.5326	14260.742	3741.92	864079.59	0	0	1.241e+09	6057.3569	15561.235	3598.7034	1153312.4	0	0	1.288e+09	6287.7995	14279.055	11/30/2021 11:20	3601.0338	870539.55	1137341.9	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-366.42048	18012.207	27626.093	-2390.4444	-197.66667	-8729.4183	-1.9379315	-1.9379315	-1.9379315	.40672425	-1.9379315	.55492294	-1.4652338	-1.4652338
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1030_W_F09	12	25	1	0	.09973958	.90026042	0	AZ005	k5	5787	10756.578	314	0	.00730033	.99269968	2.5	15	1	1	3	3945.3383	977427.98	0	0	1.372e+09	6698.1291	16227.008	3917.6447	1329286.5	0	0	1.463e+09	7141.1243	15243.595	4003.2595	991095.58	0	0	1.381e+09	6742.6844	16237.009	3864.4217	1328538.8	0	0	1.472e+09	7189.8072	15358.924	11/30/2021 11:20	3945.3383	977427.98	1329286.5	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-22.115951	-46321.341	-29696.741	-1016.4444	-91.666667	-5120.8652	.40672425	.40672425	0	-1.1189584	.13231285	-.55492294	-.36610636	-.36610636
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1030_W_F10	12	25	.12589663	.87410337	1	0	1	AZ012	k5	7577	22025.306	656	0	.00016635	.99983358	2.5	16	1	4	4	4599.3358	1331828.6	0	0	1.965e+09	9594.9839	19101.068	4394.4699	1776429.4	0	0	1.968e+09	9608.2344	17219.524	4546.5873	1352883.3	0	0	1.973e+09	9634.8064	18978.729	4397.5415	1756630.9	0	0	1.938e+09	9464.4918	17081.397	11/30/2021 11:20	4599.3358	1331828.6	1776429.4	5	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	631.88151	-17152.377	-8355.5754	773.55556	250.33333	6147.8627	1.9379315	1.9379315	1.9379315	-.13231285	1.9379315	-.26699413	.24104039	.24104039
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1030_W_G11	12	24	.97620487	.02379513	.05588822	.94411178	0	AZ019	k5	5281	25524.749	544	0	.00246519	.99753475	2.5	18	1	4	4	3905.5491	947520.75	0	0	1.302e+09	6358.1511	15731.133	3764.2523	1233703	0	0	1.340e+09	6542.3624	14493.41	3899.6022	956762.08	0	0	1.313e+09	6411.34	15763.483	3748.3923	1223474.7	0	0	1.320e+09	6443.0718	14406.871	11/30/2021 11:21	3905.5491	947520.75	1233703	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-61.905208	-56441.447	-74275.282	-1522.4444	138.33333	9647.3058	-.13231285	-.13231285	-.55492294	-1.9379315	-.40672425	-1.4121876	-.49720057	-.49720057
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1030_W_H09	12	25	.98047177	.01952823	0	1	0	AZ006	k5	8448	12180.878	293	0	.00003287	.9999671	2.5	19	1	2	3	3909.1809	1093976.4	0	0	1.559e+09	7613.0561	17426.719	3804.0886	1384315.8	0	0	1.589e+09	7758.8257	16297.559	3946.623	1103756.1	0	0	1.575e+09	7690.739	17478.663	3831.639	1397475	0	0	1.608e+09	7849.672	16327.998	11/30/2021 11:21	3909.1809	1093976.4	1384315.8	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-58.273354	88208.127	48873.759	1644.5556	-112.66667	-3696.5659	0	0	.55492294	1.9379315	.40672425	.89943491	.79163861	.79163861
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1300_W_A05	12	24	.34849079	.65150921	1	0		AZ021	k5	8288	21695.733	661	0	.0003656	.99963439	5	21	2	3	4	4336.8877	1171914.7	0	0	1.676e+09	8183.1293	17861.855	4147.0581	1534569.7	0	0	1.648e+09	8044.9661	15958.154	4264.454	1163062.1	0	0	1.657e+09	8089.1516	17708.582	4108.7931	1536782.8	0	0	1.645e+09	8031.1478	15921.576	11/30/2021 11:21	4336.8877	1171914.7	1534569.7		ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	369.43342	-46551.39	-54242.632	1148.3333	250.83333	6460.3009	1.1189584	1.1189584	.89943491	-1.4121876	.89943491	-.89943491	.49720057	.49720057
