filename	tod	date	plate	batch	tank	index	protein	f_batch	ModTime	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tsf	Food_fluo_cat	Food_fluo_cat_all	Wellfolder	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	cckar_dich	qRNA	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_A01	1.0666667	210519	1	7	14	NM248	8.8456204	1	19-maj-2021 09:04:29	3409	2487.2171	0	0	.00014972	.99985027	-3.333e-13	1	1	A01	3792.309	855436.4	0	0	1.004e+09	4903.9837	13412.205	3621.3697	1191085.2	0	0	9.499e+08	4638.2396	11702.376	3973.9303	895272.83	0	0	1.051e+09	5132.5885	13627.983	3608.9855	1213396	0	0	9.458e+08	4618.101	11660.295	5/19/2021 11:04	3792.309	855436.4	1191085.2	0	1	AB	CD15	CCKAR	1	0	0	2	1	8	-247.60887	-46951.636	-44263.015	-1454.6034	-440.67241	-454985.69	-1.0651198	-1.0651198	-1.395747	-.82239396	-1.1000328	-.64430165	-2.0730466	-2.0730466
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_A02	1.65	210519	1	7	14	NM256	12.844611	1	19-maj-2021 09:39:35	4753	26068.184	39	0	.01095637	.98904359	.58333333	2	1	A02	3993.4346	977607.42	0	0	1.169e+09	5706.971	14558.126	3595.569	1288283.7	0	0	1.092e+09	5330.6642	12992.084	3992.5621	976082.15	0	0	1.152e+09	5623.8445	14453.677	3571.9144	1327940.7	0	0	1.121e+09	5471.5828	13075.129	5/19/2021 11:39	3993.4346	977607.42	1288283.7	0	1	AB	CD15	CCKAR	1	0	0	2	1	8	-46.48325	6278.2097	-50043.84	-110.60345	-401.67241	-431404.73	-.15608123	-.15608123	-.05832674	.21539757	-.50664618	-.76905533	-.15367931	-.17307125
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_A03	1.95	210519	1	7	14	NM264	16.433448	1	19-maj-2021 09:57:51	5892	390313.87	447	0	.00075075	.99924928	.88333333	3	2	A03	4213.9229	1067418.8	0	0	1.576e+09	7697.4987	17898.632	4212.6559	1525687.3	0	0	1.450e+09	7080.0476	15074.573	4389.8634	1112728.3	0	0	1.660e+09	8107.0576	18170.423	4208.0601	1516924.4	0	0	1.437e+09	7015.7697	14925.709	5/19/2021 11:57	4213.9229	1067418.8	1525687.3	1	5	AB	CD15	CCKAR	1	0	0	2	1	8	174.00507	20511.353	74466.421	1028.3966	6.3275862	-67159.04	.66840365	.66840365	.7178201	.46293515	1.0314591	1.0314591	1.3545138	1.4040454
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_A04	2.25	210519	1	7	14	NM272	16.433448	1	19-maj-2021 10:15:52	5172	29268.857	22	0	.00205171	.99794835	1.1833333	2	1	A04	4209.3392	1085363.2	0	0	1.732e+09	8455.4974	19182.417	4117.4749	1527870.5	0	0	1.501e+09	7330.8042	15638.477	4233.6073	1076241.5	0	0	1.733e+09	8460.2712	19211.59	4145.4027	1534749.1	0	0	1.550e+09	7566.8959	15883.814	5/19/2021 12:15	4209.3392	1085363.2	1527870.5			AB	CD15	CCKAR	1	0	0	2	1	8	169.42131	40026.896	78996.603	308.39655	-418.67241	-428204.05	.64430165	.64430165	.84995728	.7178201	1.0651198	1.0651198	.35152991	.33124688
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_A05	2.65	210519	1	7	14	NM278	21.560359	1	19-maj-2021 10:39:34	6440	1197574.7	1292	0	.0000628	.99993718	1.5833333	4	3	A05	4287.1268	1073460.1	1	57	1.476e+09	7205.3587	16783.345	4186.0093	1563460.1	0	0	1.429e+09	6978.2854	15194.646	4594.388	1112100.2	0	0	1.522e+09	7433.6335	16892.802	4293.0941	1562861.9	0	0	1.415e+09	6906.8194	15115.255	5/19/2021 12:39	4594.388	1112100.2	1563460.1	1	5	AB	CD15	CCKAR	1	0	0	2	1	8	554.4701	-65221.798	-82564.515	1576.3966	851.32759	740101.84	2.2692058	2.2692058	1.2138469	-1.0651198	1.3460246	-1.2554862	2.6678608	2.6678608
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_A06	3	210519	1	7	14	NM285	15.408066	1	19-maj-2021 11:00:58	4572	492294.75	363	0	.00247544	.99752456	1.9333333	3	3	A06	4196.2564	985802	0	0	1.287e+09	6282.8763	15499.907	4015.4853	1382102.7	0	0	1.277e+09	6233.7825	14176.882	4064.3079	968904.42	0	0	1.284e+09	6269.9271	15542.08	4014.1221	1352524.4	0	0	1.252e+09	6115.5574	14078.786	5/19/2021 1:01	4196.2564	985802	1382102.7	1	5	AB	CD15	CCKAR	1	0	0	2	1	8	156.33849	-55049.777	-60072.621	-291.60345	-77.672414	34821.844	.5513477	.5513477	.01943245	-.96742157	.09730949	-.84995728	-.41329661	-.43422903
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_A07	3.2833333	210519	1	7	14	NM293	13.869993	1	19-maj-2021 11:17:39	4559	425763.98	381	0	.00402749	.99597245	2.2166667	3	2	A07	4111.7473	941419.68	0	0	1.241e+09	6060.0875	15187.922	4018.2848	1327103.3	0	0	1.268e+09	6193.0012	13971.454	4195.2299	965345.46	0	0	1.269e+09	6196.683	15308.984	4030.5615	1315140.4	0	0	1.218e+09	5945.208	13708.181	5/19/2021 1:17	4111.7473	941419.68	1327103.3	0	1	AB	CD15	CCKAR	1	0	0	2	1	8	71.829371	-70464.344	-71802.084	-304.60345	-59.672414	-31708.933	.23532887	.23532887	-.44141204	-1.1742121	-.27548228	-.99892823	-.43422903	-.45535347
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_A08	3.55	210519	1	7	14	NM300	19.407057	1	19-maj-2021 11:33:03	5012	1049438.8	1020	0	.0002847	.99971527	2.4833333	4	3	A08	4255.5871	1046543.6	0	0	1.492e+09	7286.1045	17081.695	4024.086	1448137.8	0	0	1.373e+09	6706.3207	14687.951	4009.8022	1027163.7	0	0	1.419e+09	6927.9453	16615.59	4030.7062	1433273.9	0	0	1.341e+09	6545.9596	14588.616	5/19/2021 1:33	4255.5871	1046543.6	1448137.8	1	5	AB	CD15	CCKAR	1	0	0	2	1	8	215.66927	-14645.408	-24415.708	148.39655	579.32759	591965.89	.82239396	.82239396	.52886482	-.01943245	.5741128	-.33657924	.15367931	.23167057
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_B01	1.3333333	210519	1	7	14	NM249	13.152225	1	19-maj-2021 09:20:40	4622	4639.5173	0	1	.98238784	.01761213	.26666667	1	1	B01	3908.8558	943214.11	0	0	1.199e+09	5852.3372	15133.594	3707.5745	1279012.5	0	0	1.080e+09	5271.9196	13000.451	3881.5414	944978.64	0	0	1.188e+09	5799.7534	14995.043	3686.0389	1286519.2	0	0	1.084e+09	5290.7507	13008.181	5/19/2021 11:20	3908.8558	943214.11	1279012.5			AB	CD15	CCKAR	1	0	0	2	1	8	-131.06211	876.56115	-16009.444	-241.60345	-440.67241	-452833.39	-.52886482	-.52886482	-.39896027	.13644074	-.59717942	-.27548228	-.35152991	-.35152991
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_B02	1.6833333	210519	1	7	14	NM257	13.152225	1	19-maj-2021 09:41:22	4704	6218.8237	0	1	.99995553	.00004448	.61666667	1	1	B02	4038.3118	1094754	0	0	1.230e+09	6005.7817	14576.035	3990.8013	1352045.9	0	0	1.155e+09	5640.2788	13266.961	4211.9637	1036853.6	0	0	1.200e+09	5861.2833	14537.519	3987.8026	1336404.4	0	0	1.161e+09	5668.2155	13445.246	5/19/2021 11:41	4038.3118	1094754	1352045.9	1	5	AB	CD15	CCKAR	1	0	0	2	1	8	-1.6060997	108041.97	-9259.4023	-159.60345	-440.67241	-451254.09	-.03887224	-.03887224	1.0314591	1.6411071	-.07780333	-.17578212	-.29107708	-.21205892
