filename	tod	date	plate	batch	tank	index	protein	ldl	gluc	tc	tg	freeze_dried	pos_bio	Löpnr	batch_bio	f_batch	ModTime	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tsf	Food_fluo_cat	Food_fluo_cat_all	Wellfolder	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	ghsr_dich	qRNA	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intldl	inttg	inttc	intgluc	intldl_Res	inttg_Res	inttc_Res	intgluc_Res	intldl_Res1	inttg_Res1	inttc_Res1	intgluc_Res1	intIntestine_area	intIntestine_area_Res
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_A01	1.35	210909	1	9	19	NS378										1	09-sep-2021 09:21:59	3580	15871.935	0	0	.00827801	.99172193	0	1	1	A01	3812.0365	847750.24	0	0	1.374e+09	6707.3429	17486.679	3798.1837	1281434.9	0	0	1.330e+09	6495.2696	15126.978	3833.1842	867219.85	0	0	1.381e+09	6742.4814	17410.368	3795.7065	1278145.1	0	0	1.311e+09	6399.682	14905.179	9/9/2021 11:22	3812.0365	847750.24	1281434.9			AB	CD15	GHSR	1	0	0	2	1	8	-277.17391	-68203.832	32469.154									-1249.0909	-491.09091	-448976.24	-.96742157	-.96742157	-1.1983797	-1.1983797	-.46626526	.46626526													-2.260189	-1.8027431
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_A02	1.6333333	210909	1	9	19	NS386	8.4396823	.3062664	.14270414	.2722368	.389708	0	8	8	1	1	09-sep-2021 09:38:23	4055	88665.345	103	0	.00667218	.99332786	.28333333	2	1	A02	3861.9289	894136.35	0	0	1.250e+09	6101.8835	15680.819	3719.329	1169133.3	0	0	1.224e+09	5977.134	14505.046	3753.6705	886420.29	0	0	1.252e+09	6115.6296	15745.559	3723.3955	1152265.6	0	0	1.213e+09	5924.6934	14501.41	9/9/2021 11:38	3861.9289	894136.35	1169133.3	0	1	AB	CD15	GHSR	1	0	0	2	1	8	-227.28154	-39451.167	-106096.07	.03286681	-.26178448	-.17829625	-.08365562	.03904246	-.06543293	-.08521123	.00871537	-774.09091	-388.09091	-376182.83	-.53920764	-.53920764	-.86942377	-.69480185	-1.1983797	-1.0757227	-.79777685	-.75541503	.22111871	-.79777685	-.41929575	-.63565701	.28584087	-1.5341205	-.03133798	-.28584087	.28584087	-.79777685	-.92082298	-.60133175
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_A03	2.2	210909	1	9	19	NS392	10.217593	.4083552	.28540829	.170148	.389708	0	14	14	1	2	09-sep-2021 10:12:10	4886	585797.84	546	0	.00132784	.99867213	.08333333	2	3	A03	4141.4364	1014752.2	0	0	1.666e+09	8135.3778	18955.664	3937.2341	1390985.1	0	0	1.613e+09	7877.9947	16465.318	4099.7538	974347.53	0	0	1.598e+09	7804.5713	18619.918	3948.5738	1371934.2	0	0	1.587e+09	7750.4511	16414.655	9/9/2021 12:12	4141.4364	1014752.2	1390985.1	1	5	AB	CD15	GHSR	1	0	0	2	1	8	52.22597	-17621.572	-31378.417	-.07293321	-.28388869	-.01968921	.00493748	-.06889139	-.15538134	.04123269	.06539207	-79.047619	11.380952	-94413.854	.06431684	.06431684	-.12890111	-.12890111	-.12890111	-.3957253	-.09413741	-.75541503	-.63565701	.18911843	-.09413741	-.71436744	-.63565701	.09413741	.79777685	-.63565701	-.56070303	.35178434	-.14976201	-.14976201
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_A04	2.45	210909	1	9	19	NS400	8.4396823	.3062664	.12684813	.1361184	.2338248	0	22	22	1	2	09-sep-2021 10:27:56	3767	8192.6334	0	0	.00152973	.99847025	.33333333	1	1	A04	3571.4957	908551.64	0	0	1.367e+09	6674.1929	17105.007	3578.8279	1150590.8	0	0	1.220e+09	5954.7792	14567.343	3572.1656	884027.71	0	0	1.335e+09	6517.5933	16946.475	3587.6042	1139226.1	0	0	1.205e+09	5883.9457	14526.133	9/9/2021 12:27	3571.4957	908551.64	1150590.8	1	5	AB	CD15	GHSR	1	0	0	2	1	8	-517.7147	77611.812	28246.908	-.1119111	-.46924416	-.15704551	-.11514558	-.10413161	-.22189987	-.03978619	.00121428	-1198.0476	-534.61905	-672019.06	-1.768825	-1.768825	-.6151411	1.3423357	-1.521218	.3957253	-.79777685	-1.7804643	-.93458929	-1.0364334	-.79777685	-1.7804643	-.98423496	-1.2133396	-.09413741	-.88714656	-.98423496	-.28584087	-1.3829941	-1.5587835
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_A05	2.7	210909	1	9	19	NS408	16.580643	.5444736	.25369626	.2382072	.3117664	0	30	30	1	2	09-sep-2021 10:42:30	5361	1228128	755	0	.00131197	.99868804	.58333333	4	4	A05	4321.4373	1105610.4	0	0	1.612e+09	7870.824	17634.725	4103.8114	1510703.7	0	0	1.575e+09	7691.6853	15943.41	4183.8833	1104414.1	0	0	1.598e+09	7802.67	17600.977	4150.9578	1494434.2	0	0	1.552e+09	7576.0674	15886.165	9/9/2021 12:42	4321.4373	1105610.4	1510703.7	0	1	AB	CD15	GHSR	1	0	0	2	1	8	232.22684	9618.9347	-6413.143	-.01477058	-.42077483	-.00899352	.10506736	-.01899272	-.55501534	-.07263335	.04191569	395.95238	220.38095	547916.35	.6151411	.6151411	.6151411	.3957253	.46626526	-.12890111	.79777685	-1.2133396	-.09413741	.06270678	.71436744	-1.2133396	.09413741	.22111871	.41929575	-1.3563117	-.22111871	-.71436744	.27188001	.60133175
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_A06	3.7666667	210909	1	9	20	NS416	8.8139793	.2722368	.17441618	.2382072	.6235328	0	38	38	1	3	09-sep-2021 11:46:10	5159	363900.45	578	0	.00255514	.99744487	.1	2	2	A06	3774.0081	972254.03	1	12	1.530e+09	7472.0068	18045.867	3873.7438	1395949.7	1	6	1.465e+09	7152.6006	15315.977	3897.2048	973689.58	1	9	1.504e+09	7345.8229	17807.562	3786.1172	1384136.4	1	17	1.461e+09	7131.6453	15346.157	9/9/2021 1:46	3897.2048	973689.58	1395949.7	1	5	AB	CD15	GHSR	1	0	0	2	1	8	-192.00558	27634.482	102150.89	-.01971887	-.1384807	-.06706974	-.1851637	-.01070038	.14825716	.06886502	-.05027166	-379.7	-334.5	-460591.93	-.3957253	-.3957253	-.2599896	.69480185	-.06431684	1.3423357	-1.2815516	.03133798	-.09413741	-.41929575	-1.5341205	-.15731068	-.28584087	-.09413741	-.56070303	.63565701	.03133798	.56070303	-.02984524	-.33437681
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_B01	1.4166667	210909	1	9	20	NS379	16.95494	.510444	.60252861	.3062664	1.6367736	0	1	1	1	1	09-sep-2021 09:25:39	6487	1310080	1551	0	.00111963	.99888033	.06666667	4	4	B01	4364.4051	1132646.5	0	0	1.670e+09	8155.8924	18136.36	4134.1327	1561426.4	0	0	1.616e+09	7890.3736	16302.219	4237.9108	1116676	0	0	1.655e+09	8079.3538	18116.726	4183.7689	1544319.5	0	0	1.605e+09	7835.2909	16311.771	9/9/2021 11:25	4364.4051	1132646.5	1561426.4	0	1	AB	CD15	GHSR	1	0	0	2	1	8	275.19472	21468.942	21691.004	.07122616	1.0110694	.26297483	.13626696	.06308788	.75231719	.14030735	.01454042	1657.9091	1059.9091	845231.78	.86942377	.86942377	1.1983797	.6151411	1.0757227	.12890111	.45376219	2.2414027	.56070303	1.3563117	1.0916204	2.2414027	.79777685	1.2133396	.15731068	2.2414027	.71436744	.98423496	1.8027431	2.260189
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_B02	1.6666667	210909	1	9	20	NS387	19.762168	.5785032	.65009666	.3743256	.8573576	0	9	9	1	1	09-sep-2021 09:40:08	5689	1052945.4	952	0	.0001628	.99983716	.31666667	3	3																																		0	1	AB	CD15	GHSR	1	0	0	2	1	8				.13433707	.20218108	.33174674	.1863319	.12266075	-.16906117	.15575072	.01168588	859.90909	460.90909	588097.2							1.0916204	.59776013	1.1503494	1.7804643	1.5341205	.71436744	1.3563117	1.7804643	.09413741	-.71436744	1.0916204	1.2133396	.46370775	.92082298
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_B03	2.2333333	210909	1	9	20	NS393	6.942494	.3062664	.31712032	.2041776	.3117664	0	15	15	1	2	09-sep-2021 10:14:07	4004	94178.593	81	0	.00316078	.99683917	.11666667	2	1	B03	3860.9995	800616.46	0	0	1.277e+09	6235.8021	16679.889	3631.9459	1126545.4	0	0	1.147e+09	5600.9393	13675.138	3773.1086	752734.99	0	0	1.203e+09	5872.2453	16336.019	3633.0491	1129147.3	0	0	1.150e+09	5613.2572	13639.914	9/9/2021 12:14	3860.9995	800616.46	1126545.4	1	5	AB	CD15	GHSR	1	0	0	2	1	8	-228.21095	-132642.58	-148194.72	-.03952214	-.36551432	.0146733	-.0994006	-.03016884	-.06813104	.15565477	.04049944	-961.04762	-453.61905	-586033.1	-.6151411	-.6151411	-1.768825	-2.2316058	-2.2316058	-2.2316058	-.79777685	-1.2133396	-.38532047	.45376219	-.56070303	-.98423496	-.35178434	.41929575	.35178434	-.35178434	-.35178434	1.0916204	-1.0162217	-1.0162217
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_B04	2.4833333	210909	1	9	20	NS401	14.52201	.4423848	.25369626	.3743256	.8573576	0	23	23	1	2	09-sep-2021 10:29:37	4727	1313057.1	951	0	.00235171	.9976483	.36666667	4	4	B04	3762.6431	1059314	0	0	1.551e+09	7573.3705	17634.565	3745.1516	1384913.9	0	0	1.466e+09	7160.6279	15890.616	3747.1155	1075942.4	0	0	1.567e+09	7650.2764	17669.803	3757.1308	1369003.3	0	0	1.440e+09	7033.4653	15824.153	9/9/2021 12:29	3762.6431	1059314	1384913.9	0	1	AB	CD15	GHSR	1	0	0	2	1	8	-326.56734	160816.99	161949.11	.12567757	.15060461	-.0275469	.01872354	.12392016	.09472885	-.0540361	-.00756247	-238.04762	416.38095	632845.39	-1.3423357	-1.3423357	.12890111	1.521218	-.19402814	2.2316058	.09413741	.59776013	1.1503494	.06270678	-.03133798	.63565701	1.0916204	.03133798	-.22111871	.35178434	1.2133396	-.56070303	-.27188001	-.27188001
