filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	irs1_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_A05	13	26	.08952058	.91047942	1	0	1	AX001	k5	4923	1669.9177	2	1	.99916637	.00083363	1.5	26	1	1	1	4440.9617	1067448.7	0	0	1.525e+09	7446.8504	16954.139	4208.6677	1479719.8	0	0	1.604e+09	7833.0932	15572.059	4485.5786	1100885	0	0	1.552e+09	7580.3469	16966.766	4267.4791	1492908.9	0	0	1.607e+09	7844.7824	15480.223	11/30/2021 11:21	4440.9617	1067448.7	1479719.8	5	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	424.40498	-144833.1	-97530.6	363.50954	-252.17647	-8062.968	1.521218	1.521218	0	-2.2316058	.46626526	-1.1983797	-.29128503	.40225007
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_A06	13	26	.04516862	.95483138	1	0	1	AX009	k5	2861	13548.308	439	0	.02832865	.97167134	1.5	29	1	3	4	3842.1151	920484.62	0	0	1.246e+09	6084.5216	15311.349	3759.518	1206158.4	0	0	1.291e+09	6306.099	14168.006	3786.1172	912050.78	0	0	1.249e+09	6100.6808	15384.951	3760.1504	1211751.1	0	0	1.284e+09	6270.4761	14063.873	11/30/2021 11:21	3842.1151	920484.62	1206158.4	5	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	-174.44169	-40058.288	-49800.487	-1698.4905	184.82353	3815.4225	-.6151411	-.6151411	-.86942377	-.32710332	-.86942377	-.77913968	-1.8627319	-1.3180109
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_A07	13	26	1	0	0	1	0	AX017	k5	4372	16625.718	616	0	.00189575	.99810421	1.5	14	1	4	4	3992.371	1008890.4	0	0	1.384e+09	6756.616	16059.149	3932.3393	1383149.4	0	0	1.484e+09	7246.0504	15061.597	4058.5347	1017294.3	0	0	1.392e+09	6798.0746	16081.982	3922.3292	1389101	0	0	1.504e+09	7345.5502	15201.633	11/30/2021 11:21	3992.371	1008890.4	1383149.4	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	-24.185713	-14816.068	46575.572	-187.49046	361.82353	6892.8328	0	0	-.32710332	-.06431684	-.06431684	.77913968	-.77642176	-.13092665
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_B06	13	27	.17733773	.82266227	1	0	1	AX010	k5	6793	17089.627	536	0	.00360988	.99639004	1.5	10	1	4	4	4397.8578	1220693.4	1	7	1.871e+09	9138.0271	19250.288	4410.1053	1638138.4	0	0	1.846e+09	9012.8256	16966.199	4393.534	1226136.5	1	6	1.845e+09	9009.3567	19000.318	4403.8415	1640680.5	0	0	1.849e+09	9026.8755	16949.191	11/30/2021 11:21	4397.8578	1220693.4	1638138.4	5	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	381.30102	26531.273	61258.185	1793.4149	281.82353	7356.7415	1.3423357	1.3423357	1.0757227	.46626526	1.521218	.96742157	.84908619	2.3109913
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_B07	13	27	.98593638	.01406362	.17007673	.82992327	0	AX018	k5	3632	4438.1797	83	0	.02252267	.97747737	1.5	28	1	1	2	3919.0606	944260.86	0	0	1.311e+09	6402.9703	15974.604	3704.4797	1215160.5	0	0	1.317e+09	6430.8896	14637.423	3913.1534	982243.04	0	0	1.371e+09	6694.5444	16289.103	3683.8841	1220184.9	0	0	1.320e+09	6443.2075	14622.968	11/30/2021 11:22	3919.0606	944260.86	1215160.5	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	-97.496193	-48627.845	-104836.8	-1367.5851	-171.17647	-5294.706	-.19402814	-.19402814	-.6151411	-.3957253	-.77913968	-1.3423357	-1.4544076	-1.2025083
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_B08	13	27	.96498944	.03501056	.07766784	.92233216	0	AX026	k5	6023	15047.837	465	0	.00046139	.99953866	1.5	11	1	3	4	4205.483	1151428.2	0	0	1.593e+09	7780.1683	17162.833	4201.883	1480856.3	0	0	1.600e+09	7811.7021	15699.126	4402.5883	1144071	0	0	1.575e+09	7690.419	17001.635	4212.3577	1477865.6	0	0	1.583e+09	7727.8771	15620.859	11/30/2021 11:22	4205.483	1151428.2	1480856.3	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	188.92622	38135.289	7188.4592	1023.4149	210.82353	5314.9516	.6151411	.6151411	.69480185	.69480185	.53920764	0	.29128503	.9265376
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_C05	13	26	1	0	0	1	0	AX003	k5	2618	2265.2265	38	0	.03472798	.96527207	1.5	30	1	1	1	3570.2269	855286.87	0	0	1.132e+09	5529.3488	14495.873	3339.45	1051179.2	0	0	1.118e+09	5460.0269	13401.18	3548.9154	827084.35	0	0	1.122e+09	5480.3173	14591.386	3330.5047	1060271	0	0	1.122e+09	5480.4866	13363.016	11/30/2021 11:22	3570.2269	855286.87	1051179.2	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	-446.3299	9038.3956	-58907.046	-1941.4905	-216.17647	-7467.6592	-1.521218	-1.521218	-1.521218	.12890111	-2.2316058	-.86942377	-2.3109913	-1.6249807
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_C08	13	26	1	0	.49756691	.50243309		AX027	k5	4637	3876.9417	71	0	.04973494	.95026505	1.5	17	1	1	1	4300.9728	1075583.5	1	4	1.583e+09	7728.3727	17578.98	4196.4167	1414611.8	0	0	1.553e+09	7582.5283	15160.471	4254.9722	1083150	1	6	1.588e+09	7754.8974	17540.937	4206.2687	1420114.7	0	0	1.566e+09	7647.7762	15256.498	11/30/2021 11:22	4300.9728	1075583.5	1414611.8		ABs	CD15	irs1	210701	1	0	0	1	1	1	8	284.41608	-77850.788	-87532.185	77.509543	-183.17647	-5855.944	.96742157	.96742157	.06431684	-.69480185	.19402814	-1.0757227	-.45955825	.13092665
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_D08	13	27	1	0	0	1	0	AX028	k5	6731	9352.3217	215	0	.00040311	.99959689	1.5	22	1	2	2	4027.3213	1055545.7	0	0	1.486e+09	7253.9718	16783.039	3894.7407	1399478.8	0	0	1.562e+09	7626.9977	16020.354	3898.6665	1073998.4	0	0	1.473e+09	7193.1939	16609.981	3908.1327	1391403.8	0	0	1.547e+09	7552.1873	15911.778	11/30/2021 11:22	4027.3213	1055545.7	1399478.8	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	10.764571	17147.053	21397.679	1731.4149	-39.176471	-380.56397	.12890111	.12890111	-.06431684	.32710332	0	.32710332	.77642176	1.8627319
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_E07	13	26	0	1	0	1		AX021	k5	4327	5967.3547	144	0	.03647586	.96352416	1.5	32	1	2	2	4210.6001	1167099.6	0	0	1.556e+09	7596.9132	16632.717	4087.0922	1421490.5	0	0	1.569e+09	7662.8023	15531.577	4137.6289	1156871.3	0	0	1.563e+09	7633.4511	16726.899	4077.7444	1429475.7	0	0	1.571e+09	7673.1231	15541.352	11/30/2021 11:22	4210.6001	1167099.6	1421490.5		ABs	CD15	irs1	210701	1	0	0	1	1	1	8	194.04338	51655.562	-32167.016	-232.49046	-110.17647	-3765.5311	.69480185	.69480185	.86942377	.86942377	.2599896	-.46626526	-.84908619	-.23720211
