filename	tod	date	plate	batch	tank	index	protein	f_batch	ModTime	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tsf	Food_fluo_cat	Food_fluo_cat_all	Wellfolder	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	lep_dich	qRNA	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
AB_CD15_08dpf_VAST02_plate01_LEP_210902_A01	1.2833333	210902	1	5	10	NR417	26.977606	1	02-sep-2021 09:17:13	4760	106374.49	232	0	.00750612	.99249387	3.333e-13	1	1	A01	4056.3603	984097.29	0	0	1.430e+09	6982.2262	16737.925	3973.0572	1407404.2	0	0	1.396e+09	6815.9321	14479.8	4085.5223	996239.62	0	0	1.444e+09	7053.1369	16749.768	4041.643	1410365	0	0	1.413e+09	6901.0234	14640.038	9/2/2021 11:17	4056.3603	984097.29	1407404.2	1	5	AB	CD15	LEP	1	0	0	2	1	8	40.67215	-35188.603	11614.586	-223.3871	-162.70968	-542769.42	.34743989	.34743989	-.04088032	-.34743989	.37653158	.12291562	-.32211124	-.29444085
AB_CD15_08dpf_VAST02_plate01_LEP_210902_A02	1.7166667	210902	1	5	12	NR424	10.241115	1	02-sep-2021 09:43:31	5152	541127.13	447	0	.00272743	.99727255	.43333333	2	3	A02	3910.8102	1041997.7	0	0	1.534e+09	7491.712	17453.099	3866.2361	1390925.3	0	0	1.538e+09	7509.1113	15876.529	3877.5327	996957.4	1	10	1.519e+09	7414.8895	17539.988	3855.6084	1378603.5	0	0	1.542e+09	7528.7368	16032.574	9/2/2021 11:43	3910.8102	1041997.7	1390925.3	1	5	AB	CD15	LEP	1	0	0	2	1	8	-104.87799	74622.544	60432.908	168.6129	52.290323	-108016.78	-.15041807	-.15041807	.6574843	1.1503494	.29010079	.87709547	.15898053	.35003052
AB_CD15_08dpf_VAST02_plate01_LEP_210902_A03	2.0833333	210902	1	5	11	NR432	22.007375	1	02-sep-2021 10:05:19	5695	2472635	981	0	.00075322	.99924684	.8	4	4	A03	4225.9144	1068914.2	0	0	1.594e+09	7782.1231	17735.544	4154.6846	1511870.1	0	0	1.571e+09	7670.9068	16018.033	4443.0792	1124930.4	0	0	1.623e+09	7925.1883	17669.985	4178.7298	1507354.1	0	0	1.577e+09	7698.1985	16037.226	9/2/2021 12:05	4225.9144	1068914.2	1511870.1	0	1	AB	CD15	LEP	1	0	0	2	1	8	210.22627	-10843.533	40014.577	711.6129	586.29032	1823491.1	.87709547	.87709547	.87709547	.06816766	1.0505218	.52752928	.86057223	.98156177
AB_CD15_08dpf_VAST02_plate01_LEP_210902_A04	2.3833333	210902	1	5	10	NR440	15.109912												A04	4011.5583	1016516.7	1	2	1.493e+09	7291.1796	17143.034	3962.9764	1415030.5	0	0	1.524e+09	7443.186	15550.473	3992.7156	1029586.2	1	3	1.507e+09	7357.8457	17151.996	4031.4184	1392659.9	0	0	1.493e+09	7290.2259	15393.504	9/2/2021 12:22	4011.5583	1016516.7	1415030.5	1	5	AB	CD15	LEP	1	0	0	2	1	8	-4.1298312	13209.549	39340.147				.17803479	.17803479	.34743989	.34743989	.49646664	.49646664		
AB_CD15_08dpf_VAST02_plate01_LEP_210902_A05	2.7	210902	1	5	10	NR447	10.646848	1	02-sep-2021 10:42:31	4996	1266499.2	822	0	.00147827	.99852175	1.4166667	3	4	A05	4053.0669	1039276.1	0	0	1.460e+09	7131.3166	16804.779	3974.664	1428548.6	0	0	1.429e+09	6975.1203	15380.006	4084.1751	1058925.2	0	0	1.468e+09	7167.5271	16787.23	3976.4168	1451936	0	0	1.443e+09	7044.9229	15382.755	9/2/2021 12:42	4053.0669	1039276.1	1428548.6	0	1	AB	CD15	LEP	1	0	0	2	1	8	37.378804	21164.809	34236.468	12.612903	427.29032	617355.3	.31863936	.31863936	.62402876	.49646664	.59125761	.43571506	-.10573895	.13231285
AB_CD15_08dpf_VAST02_plate01_LEP_210902_A06	3.9	210902	1	5	12	NR453	26.876173	2	02-sep-2021 11:54:24	7886	1617502.7	1729	0	6.712e-06	.99999332	.1	4	4																																		0	1	AB	CD15	LEP	1	0	0	2	1	8				2786.129	817.54839	479288.23							2.1497001	2.1497001
AB_CD15_08dpf_VAST02_plate01_LEP_210902_A07	4.1833333	210902	1	5	11	NR461	15.718512	2	02-sep-2021 12:11:05	5499	1941650.8	1145	0	.00011474	.9998852	.38333333	4	4	A07	4375.8544	1068734.7	0	0	1.555e+09	7592.8553	17489.186	4158.7318	1540999.8	0	0	1.497e+09	7311.5958	15733.722	4197.5284	1073011.5	0	0	1.531e+09	7477.7916	17361.427	4205.5256	1522098.4	0	0	1.457e+09	7111.9488	15571.384	9/2/2021 2:11	4375.8544	1068734.7	1540999.8	1	5	AB	CD15	LEP	1	0	0	2	1	8	360.16626	-64499.382	1877.6224	399.12903	233.54839	803436.26	1.2631877	1.2631877	.83774504	-.83774504	1.1503494	-.04088032	.64984945	.64984945
AB_CD15_08dpf_VAST02_plate01_LEP_210902_A08	4.45	210902	1	5	10	NR469	12.371214	2	02-sep-2021 12:27:27	3774	686588.27	410	0	.00182598	.99817407	.65	2	3	A08	3803.8645	876012.57	0	0	1.298e+09	6336.8459	16507.154	3779.9191	1249942.6	0	0	1.265e+09	6177.5618	14653.133	3842.5665	880648.19	0	0	1.339e+09	6540.0241	16757.981	3806.3129	1247460.3	0	0	1.240e+09	6053.8419	14435.64	9/2/2021 2:27	3803.8645	876012.57	1249942.6	1	5	AB	CD15	LEP	1	0	0	2	1	8	-211.82361	-53220.19	-32571.447	-1325.871	-501.45161	-451626.25	-1.0043345	-1.0043345	-1.2048509	-.62402876	-.83774504	-.59125761	-1.9379315	-1.7885693
AB_CD15_08dpf_VAST02_plate01_LEP_210902_A09	4.8166667	210902	1	5	10	NR477	22.210242	2	02-sep-2021 12:49:45	5328	1263920.1	807	0	.00038729	.99961275	1.0166667	3	4	A09	3858.9579	1043612.7	0	0	1.690e+09	8254.3102	19070.607	3876.337	1374087.5	0	0	1.571e+09	7671.5368	16580.735	3898.187	1000277.1	0	0	1.666e+09	8132.7842	19041.984	3866.9631	1364577	0	0	1.572e+09	7677.8284	16619.435	9/2/2021 2:49	3858.9579	1043612.7	1374087.5	0	1	AB	CD15	LEP	1	0	0	2	1	8	-156.73028	94730.759	66857.291	228.12903	-104.45161	125705.55	-.49646664	-.49646664	.69169254	1.5566011	.09550585	1.0990663	.49435905	.49435905
AB_CD15_08dpf_VAST02_plate01_LEP_210902_B01	1.3833333	210902	1	5	11	NR418	22.007375	1	02-sep-2021 09:23:15	5554	744887.18	367	0	.00131005	.99868995	.1	2	3																																				AB	CD15	LEP	1	0	0	2	1	8				570.6129	-27.709677	95743.27							.78649261	.86057223
