filename	tod	date	plate	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	mc4r_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	filename9	filename10	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_A02	2.5	211116	1	3	5	0	1				NT797	k5										4228.419	1087755.7	1	7	1.522e+09	7430.5605	16831.728	4037.0081	1478852.5	0	0	1.626e+09	7939.0851	15719.197	4232.7206	1125080	0	0	1.557e+09	7604.6379	16903.883	4079.8195	1476011.4	0	0	1.614e+09	7880.3106	15595.526	11/30/2021 9:24	4228.419	1087755.7	1478852.5		ABs	CD15	mc4r	W	A02	1	0	0	1	1	8	180.04511	-41886.521	-42071.851				.91697655	.91697655	.3325995	-.6308035	.35131491	-.54681325		
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_A04	2.5	211116	1	3	5	.96977294	.03022706	0	1	0	NT813	k5	4559	8027.4013	254	0	.06366758	.93633246	1	2	2																																	1	ABs	CD15	mc4r	W	A04	1	0	0	1	1	8				-862.69565	52.869565	633.17424							-.81125623	-.59825638
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_B01	2.5	211116	1	3	6	0	1	0	1		NT790	k5	6303	11870.03	357	0	.00681118	.99318886	1	3	3	4102.277	1078992.9	0	0	1.439e+09	7026.9782	16130.496	3970.7682	1442276	0	0	1.496e+09	7305.9928	15055.582	4189.7621	1080817.3	0	0	1.436e+09	7010.3908	16133.354	3956.0841	1451756.6	0	0	1.525e+09	7447.8926	15217.794	11/30/2021 9:24	4102.277	1078992.9	1442276		ABs	CD15	mc4r	W	B01	1	0	0	1	1	8	53.903163	580.36053	-8803.3795	881.30435	155.86957	4475.8028	.25881932	.25881932	.25881932	.02648156	.07066802	-.11499296	.53969995	.70077457
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_B02	2.5	211116	1	3	6	.96392679	.03607321	0	1	0	NT798	k5	4350	3399.8334	74	0	.27919289	.72080708	1	1	1	3484.6925	844550.17	0	0	1.101e+09	5375.3253	14158.476	3434.7277	1104384.2	0	0	1.147e+09	5598.3793	13321.851	3698.6584	865784.3	0	0	1.127e+09	5503.149	14300.442	3450.9372	1102589.7	0	0	1.145e+09	5590.0283	13282.658	11/30/2021 9:24	3484.6925	844550.17	1104384.2	1	ABs	CD15	mc4r	W	B02	1	0	0	1	1	8	-563.68138	16955.602	-4737.6208	-1071.6957	-127.13043	-3994.3937	-2.1059204	-2.1059204	-1.9660246	.35131491	-2.1059204	-.07951913	-.98524588	-.83454576
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_B03	2.5	211116	1	3	6			.72020202	.27979798		NT806	k5	2962	5026.502	162	0	.43816391	.56183612	1	1	2																																		ABs	CD15	mc4r	W	B03	1	0	0	1	1	8				-2459.6957	-39.130435	-2367.725							-1.9921225	-1.7937838
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_B04	2.5	211116	1	3	6	1	0	.01453703	.98546297	0	NT814	k5	6196	5760.2036	147	0	.0184226	.98157746	1	1	2	4063.6493	1066461.8	0	0	1.534e+09	7490.2042	17100.39	3945.7325	1453969.7	0	0	1.605e+09	7838.3165	15869.632	4137.8494	1087217.4	0	0	1.559e+09	7611.0166	17179.597	3956.0841	1447061.2	0	0	1.579e+09	7709.7656	15698.507	11/30/2021 9:24	4063.6493	1066461.8	1453969.7	1	ABs	CD15	mc4r	W	B04	1	0	0	1	1	8	15.275394	3737.0273	24278.607	774.30435	-54.130435	-1634.0235	.02648156	.02648156	.13278149	.13278149	.20441633	.37015419	.42769365	.63845305
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_C01	2.5	211116	1	3	5	0	1	.42242356	.57757644		NT791	k5	7895	9410.9531	250	0	.00915589	.99084407	1	3	2	4442.9008	1186688.8	0	0	1.691e+09	8255.1332	17680.938	4304.5872	1613136	0	0	1.758e+09	8582.4857	16333.33	4502.6946	1218809.2	0	0	1.726e+09	8426.1089	17737.296	4315.523	1609218.1	0	0	1.735e+09	8470.2571	16128.228	11/30/2021 9:24	4442.9008	1186688.8	1613136		ABs	CD15	mc4r	W	C01	1	0	0	1	1	8	394.52696	-30060.366	-26547.366	2473.3043	48.869565	2016.726	1.7655892	1.7655892	1.1589443	-.44692449	1.3529978	-.38912579	1.4792525	1.7937838
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_C03	2.5	211116	1	3	5	0	1	.91671164	.08328836	1	NT807	k5	5574	12329.648	358	0	.00362798	.9963721	1	4	3	4080.9995	1020135.5	0	0	1.456e+09	7107.3406	16609.929	3823.0474	1381414.8	0	0	1.525e+09	7447.9038	15552.942	3950.9855	1026356.2	0	0	1.435e+09	7007.8906	16471.252	3856.4615	1379082	0	0	1.523e+09	7434.8101	15533.525	11/30/2021 9:24	4080.9995	1020135.5	1381414.8	4	ABs	CD15	mc4r	W	C03	1	0	0	1	1	8	32.625638	-49635.676	-57883.184	152.30435	156.86957	4935.4207	.15061213	.15061213	-.35131491	-.7425627	-.27711717	-.69681993	-.11646406	.06644962
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_C04	2.5	211116	1	3	5	.32777862	.67222138	.95151708	.04848292		NT815	k5	4711	1462.0496	0	1	.99999523	4.793e-06	1	1	1	4021.8557	1056562.5	0	0	1.670e+09	8152.6937	18610.992	4075.5435	1402499.4	1	5	1.669e+09	8151.0202	16250.45	4016.58	1058596.2	0	0	1.677e+09	8189.1382	18613.846	4063.6493	1416884.8	1	7	1.693e+09	8268.7112	16356.465	11/30/2021 9:24	4021.8557	1056562.5	1402499.4		ABs	CD15	mc4r	W	C04	1	0	0	1	1	8	-26.518131	10811.23	-4050.5844	-710.69565	-201.13043	-5932.1775	-.31399988	-.31399988	.04414511	.27711717	-.13278149	-.04414511	-.65894082	-.53969995
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_D01	2.5	211116	1	3	6	.08515304	.91484696	.94532251	.05467749	1	NT792	k5	4491	8471.8779	278	0	.20400761	.79599237	1	2	2	4031.003	1086738.9	0	0	1.519e+09	7414.6542	16940.75	3981.434	1453102.4	0	0	1.533e+09	7486.8	15086.025	4183.7689	1106507.6	0	0	1.536e+09	7498.4145	16943.32	3981.5542	1445087.3	0	0	1.514e+09	7390.5624	14953.507	11/30/2021 9:24	4031.003	1086738.9	1453102.4	4	ABs	CD15	mc4r	W	D01	1	0	0	1	1	8	-17.370882	37272.674	41487.596	-930.69565	76.869565	1077.6509	-.25881932	-.25881932	.31399988	.69681993	.18642349	.56742932	-.90731847	-.65894082
