filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	negr1_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_A01	16	33	1	0	0	1	1	AU001	k1	4800	2180.0545	0	0	.00036963	.99963033	1	48	1	1	1	3888.4197	924133.3	0	0	1.223e+09	5970.5872	15015.227	3601.2456	1229306.6	0	0	1.258e+09	6140.1572	13934.726	3857.3455	932088.62	0	0	1.225e+09	5979.5072	15009.656	3572.3037	1234301.1	0	0	1.278e+09	6238.7331	14049.73	11/30/2021 11:28	3888.4197	924133.3	1229306.6	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	-102.99811	-65192.508	-75833.223	-459.5	-319.57143	-8482.9381	-.38897141	-.38897141	-.95309776	-1.1149663	-.93197131	-1.065861	-.60787674	-.4285246
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_A02	16	33	.96417953	.03582047	0	1	1	AU008	k1	3459	2615.2215	46	0	.07597248	.9240275	1	15	1	1	1	4309.9614	1056532.6	0	0	1.431e+09	6986.6115	16205.963	4078.4594	1362304.1	0	0	1.428e+09	6974.1031	14661.417	4224.2333	1011283	0	0	1.373e+09	6704.2227	15954.898	4075.1582	1347589.7	0	0	1.410e+09	6885.244	14571.717	11/30/2021 11:28	4309.9614	1056532.6	1362304.1	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	318.54359	-112969.47	-190252.06	-1800.5	-273.57143	-8047.7711	1.4941549	1.4941549	.34548507	-2.2111272	.027102	-2.4040126	-1.5539669	-1.3180109
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_A03	16	33	1	0	.14205241	.85794759	1	AU016	k1	4315	1237.7469	0	1	.9999727	.00002729	1	55	1	1	1																																	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8				-944.5	-319.57143	-9425.2457							-1.0302671	-.7602329
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_A04	16	33	.14970501	.85029499	.95485784	.04514216	0	AU024	k1	6793	11913.287	366	0	.00226044	.99773955	1	29	1	2	3	4072.2804	1088054.8	0	0	1.650e+09	8058.1195	18152.446	4004.772	1467009.3	0	0	1.717e+09	8382.5024	16617.81	4045.4337	1077976.1	0	0	1.638e+09	8000.1133	18048.497	3992.9216	1469940.2	0	0	1.719e+09	8395.037	16587.195	11/30/2021 11:28	4072.2804	1088054.8	1467009.3	1	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	80.862563	20142.879	53955.719	1533.5	46.428571	1250.2942	.44813738	.44813738	.4935534	.44813738	.70456485	.70456485	.7602329	1.2898136
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_B01	16	34	1	0	.18744076	.81255924	1	AU002	k1	3495	5841.3248	150	0	.15651305	.84348696	1	56	1	1	2	3719.0757	861956.18	0	0	1.301e+09	6353.3848	16342.624	3509.3059	1165514.5	0	0	1.310e+09	6394.3255	14649.033	3817.5792	895183.11	0	0	1.364e+09	6659.5653	16723.951	3510.9929	1175593.3	0	0	1.315e+09	6419.6013	14635.205	11/30/2021 11:28	3719.0757	861956.18	1165514.5	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	-272.34211	-54988.257	-40231.941	-1764.5	-169.57143	-4821.6679	-1.4941549	-1.4941549	-1.8101646	-.85131464	-1.4941549	-.63669378	-1.5148607	-1.2898136
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_C01	16	33	1	0	0	1	1	AU003	k1	4412	6225.6766	181	0	.00179376	.99820626	1	33	1	1	2	4096.7107	1025608.5	0	0	1.395e+09	6812.5429	16005.695	3884.2025	1357429.2	0	0	1.464e+09	7146.5095	15016.062	4043.3631	1023485.1	0	0	1.385e+09	6761.6587	15934.362	3829.8473	1356980.6	0	0	1.462e+09	7138.1522	14966.295	11/30/2021 11:29	4096.7107	1025608.5	1357429.2	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	105.29287	-52745.462	-69963.283	-847.5	-138.57143	-4437.316	.55575496	.55575496	.01354976	-.77584953	-.01354976	-1.0422467	-.9515088	-.63713262
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_C03	16	33	.11299888	.88700112	.96255471	.03744529	0	AU018	k1	6457	18804.821	657	0	.00047923	.99952078	1	61	1	4	4	4128.9642	1054738.2	0	0	1.491e+09	7278.5554	16826.66	4016.2077	1453102.4	0	0	1.554e+09	7588.2023	15454.949	4145.4424	1060091.6	0	0	1.498e+09	7314.8842	16830.754	3971.6719	1442664.8	0	0	1.564e+09	7634.5033	15625.501	11/30/2021 11:29	4128.9642	1054738.2	1453102.4	1	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	137.54639	-37401.694	6779.3116	1197.5	337.42857	8141.8287	.63669378	.63669378	.316858	-.47830599	.58766562	.09498804	.41535149	.8961132
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_D02	16	34	1	0	.04641206	.95358794	1	AU011	k1	4573	10080.077	252	0	.00614114	.99385887	1	37	1	2	3	4125.5258	994325.56	1	8	1.455e+09	7103.6438	16824.109	4054.6494	1322049	0	0	1.436e+09	7012.6893	14674.111	3949.5319	976052.25	0	0	1.421e+09	6938.1242	16705.048	4061.1278	1323992.9	0	0	1.430e+09	6983.1364	14618.076	11/30/2021 11:29	4125.5258	994325.56	1322049	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	134.10802	-96344.657	-122256.07	-686.5	-67.571429	-582.91538	.62018631	.62018631	-.19084294	-1.6318898	-.27439149	-1.5368734	-.79281672	-.52301827
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_D03	16	34	0	1				AU019	k1	7141	20147.24	614	0	.00063965	.99936038	1	50	1	4	4	4239.6923	1272074	0	0	1.804e+09	8810.2674	18086.322	4159.4868	1669780.3	0	0	1.852e+09	9042.4469	16876.045	4207.527	1264896.2	0	0	1.792e+09	8751.7668	18048.022	4115.9928	1647977.9	0	0	1.819e+09	8881.6488	16747.759	11/30/2021 11:29	4239.6923	1272074	1669780.3		ABs	CD15	negr1	210630	1	0	0	1	1	1	8	248.2745	132606.48	158467.31	1881.5	294.42857	9484.2472	1.1669186	1.1669186	1.9716581	1.6855013	2.0766071	2.4040126	.91426632	1.5956054
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_E02	16	33	1	0	0	1	1	AU012	k1	6781	18540.035	616	0	.00144731	.99855262	1	38	1	4	4	4133.3404	1019986	0	0	1.417e+09	6920.9079	16391.633	3857.0199	1382491.5	0	0	1.552e+09	7576.1322	15973.082	4045.9437	1047650.1	0	0	1.428e+09	6973.0061	16330.172	3899.6022	1379590.5	0	0	1.543e+09	7536.5835	15890.694	11/30/2021 11:29	4133.3404	1019986	1382491.5	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	141.92263	-74024.393	-66400.206	1521.5	296.42857	7877.0426	.6702433	.6702433	-.05422393	-1.2815516	.20465992	-1.0191998	.72843695	1.2108275
