filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	pcsk1_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_A02	18	42	1	0	0	1	1	AV008	k1	4187	819.34897	0	0	9.986e-09	1	2.5	74	2	1	1	3599.2934	826785.28	0	0	1.135e+09	5541.5671	14708.722	3487.4549	1102290.6	0	0	1.161e+09	5671.3419	13456.487	3483.3877	826097.41	0	0	1.116e+09	5447.8447	14549.298	3492.421	1096967.2	0	0	1.152e+09	5626.9884	13427.163	11/30/2021 11:37	3599.2934	826785.28	1102290.6	5	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	-185.4152	-40894.745	-57001.014	-504.63158	-271	-8161.6023	-2.0368341	-.88714656	-2.1732447	-.84374928	-1.9302859	-.95557754	-1.3367058	-.30057806
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_A03	18	42	1	0				AV016	k1	3932	2305.1573	43	0	.0923856	.90761441	2.5	54	2	1	1	3767.6473	898502.81	0	0	1.226e+09	5987.7897	15120.558	3770.6506	1231220.7	0	0	1.299e+09	6341.469	14000.006	3764.4231	904813.23	0	0	1.232e+09	6016.5432	15141.339	3769.1155	1241837.8	0	0	1.317e+09	6433.0025	14088.427	11/30/2021 11:38	3767.6473	898502.81	1231220.7		ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	-17.061372	-34497.517	-14023.615	-759.63158	-228	-6675.794	-.95557754	-.15731068	-1.1649293	-.61029461	-.83314687	-.27962933	-1.574445	-.59036637
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_B01	18	42	0	1	1	0	0	AV001	k1	5821	15743.754	501	0	.00036521	.99963474	2.5	67	2	4	4	3921.4026	1005780	0	0	1.371e+09	6696.2701	15938.259	3950.2701	1393108.5	0	0	1.490e+09	7275.6729	14955.193	4026.0735	1014303.6	0	0	1.387e+09	6773.0117	16040.782	3949.6644	1399747.9	0	0	1.508e+09	7362.6145	15042.296	11/30/2021 11:38	3921.4026	1005780	1393108.5	1	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	136.69399	13123.523	69364.761	1129.3684	230	6762.8031	-.34227645	.74159404	.03730967	.3581406	.3581406	1.0037976	-.16603187	.87951726
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_B02	18	42	0	1	1	0	0	AV009	k1	4817	9823.908	283	0	.00161226	.99838781	2.5	69	2	3	3	3708.2158	881545.41	0	0	1.192e+09	5820.0513	15012.139	3704.8672	1216057.7	0	0	1.302e+09	6358.9019	14512.505	3845.6552	909538.57	0	0	1.230e+09	6005.3807	15180.21	3720.0526	1216297	0	0	1.304e+09	6365.0241	14525.728	11/30/2021 11:38	3708.2158	881545.41	1216057.7	1	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	-76.492872	-28395.84	1156.0351	125.36842	12	842.95679	-1.2258953	-.40629779	-1.4437492	-.48877641	-.95557754	.00746027	-.92082298	.11733649
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_B03	18	42	1	0				AV017	k1	4925	13266.091	403	0	.00432996	.99567008	2.5	85	2	4	3	3773.4732	946174.93	0	0	1.273e+09	6215.4121	15309.146	3812.4876	1282272.3	0	0	1.340e+09	6541.9802	14239.931	3829.1249	957719.12	0	0	1.280e+09	6248.6057	15328.882	3774.1072	1287476.2	0	0	1.356e+09	6620.5247	14322.685	11/30/2021 11:38	3773.4732	946174.93	1282272.3		ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	-11.235485	10914.192	34053.628	233.36842	132	4285.1393	-.93228264	-.05224518	-.64665208	.295179	-.4389272	.47203086	-.80109453	.2151244
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_C01	18	42	.89294905	.10705095	0	1		AV002	k1	6155	12435.457	299	0	.02107124	.97892874	2.5	39	2	4	3	3806.3914	938668.21	0	0	1.429e+09	6975.4677	17037.227	3822.7971	1320194.7	0	0	1.550e+09	7570.6549	15995.384	4027.7075	954967.65	0	0	1.455e+09	7105.0844	17152.944	3833.6094	1298930.7	0	0	1.520e+09	7421.5185	15868.442	11/30/2021 11:38	3806.3914	938668.21	1320194.7		ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	21.68278	-9364.6161	55169.648	1463.3684	28	3454.5055	-.76138261	.17243541	-.74159404	-.06719235	-.18759968	.82263729	.02066049	1.1048357
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_C02	18	42	1	0	0	1	1	AV010	k1	4185	1585.1812	15	0	.38136977	.61863029	2.5	84	2	1	1	3603.8191	862823.49	0	0	1.170e+09	5711.7485	14725.42	3626.7091	1198262.9	0	0	1.244e+09	6073.1151	13677.782	3615.671	874756.47	0	0	1.169e+09	5709.6056	14700.206	3637.5246	1196019.9	0	0	1.248e+09	6092.519	13696.756	11/30/2021 11:38	3603.8191	862823.49	1198262.9	5	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	-180.88954	-6612.4686	36660.708	-506.63158	-256	-7395.77	-1.9302859	-.86524422	-1.6991777	.03730967	-1.1080108	.52268931	-1.3711453	-.32952587
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_C03	18	42	0	1	1	0	0	AV018	k1	3663	13781.188	497	0	.00640641	.99359363	2.5	43	2	4	4	3659.2844	915998.54	0	0	1.206e+09	5889.5375	14915.612	3621.6505	1230562.7	0	0	1.282e+09	6258.8492	14194.738	3643.5175	927512.82	0	0	1.219e+09	5951.9565	14980.565	3642.8813	1227063.6	0	0	1.263e+09	6167.18	14054.928	11/30/2021 11:38	3659.2844	915998.54	1230562.7	1	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	-125.42422	25042.362	40642.825	-1028.6316	226	4800.2368	-1.5844329	-.57472664	-1.0037976	.50566016	-.86524422	.5572144	-1.8027431	-.85941809
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_D01	18	42	1	0	0	1	1	AV003	k1	5326	12453.594	376	0	.01934937	.9806506	2.5	56	2	4	3	3857.3455	971356.81	0	0	1.348e+09	6580.3298	16033.536	3830.1908	1333473.5	0	0	1.466e+09	7158.0256	15195.192	3880.1542	984635.62	0	0	1.381e+09	6744.3018	16237.595	3873.1261	1334011.8	0	0	1.456e+09	7109.5183	15123.317	11/30/2021 11:38	3857.3455	971356.81	1333473.5	5	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	72.636859	3554.0979	42433.971	634.36842	105	3472.643	-.5572144	.42255626	-.27962933	.20280722	-.11213762	.59241694	-.51023032	.60684159
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_D02	18	42	1	0	.13518248	.86481752	1	AV011	k1	4953	5996.3953	154	0	.00629197	.99370801	2.5	91	2	2	2	3631.6618	842307.13	0	0	1.204e+09	5878.705	15571.227	3615.6545	1153461.9	0	0	1.230e+09	6005.6347	14109.094	3626.973	845596.92	0	0	1.209e+09	5905.4613	15558.037	3621.506	1148108.5	0	0	1.210e+09	5907.0177	13974.602	11/30/2021 11:38	3631.6618	842307.13	1153461.9	5	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	-153.04687	-37931.618	-22355.325	261.36842	-117	-2984.556	-1.7660888	-.74159404	-2.0368341	-.76138261	-1.5844329	-.37409541	-.74537681	.28619957
