filename	tod	date	plate	batch	tank	index	protein	ldl	gluc	tc	tg	freeze_dried	pos_bio	Löpnr	batch_bio	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	pomc_dich	qRNA	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intldl	inttg	inttc	intgluc	intldl_Res	inttg_Res	inttc_Res	intgluc_Res	intldl_Res1	inttg_Res1	inttc_Res1	intgluc_Res1	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_A08	2.5	211115	1	1	2	NT706		.1020888	.12684813	.0340296	.1558832	0	7	7	1	6007	10930.259	350	0	.03314704	.96685296	2	3	3	4158.7318	1212977.3	1	10	1.818e+09	8877.6333	18754.077	4169.6126	1622616.6	0	0	1.785e+09	8716.4703	16660.999	4165.9673	1222009.3	1	11	1.801e+09	8793.7186	18585.399	4158.4981	1613823.9	0	0	1.778e+09	8682.674	16680.375	11/30/2021 9:18	4158.7318	1212977.3	1622616.6			ABs	CD15	pomc	1	0	0	1	1	8	142.13366	113699.52	150718.96	-.17184704	-.30358492	-.23081363	-.22829384					507.375	126.79167	2972.7633	.51731215	.51731215	1.3249577	1.8682417	1.5932188	1.8682417	-1.172581	-1.552754	-1.4165091	-1.552754	-1.2031568	-1.0338532	-1.2031568	-1.2031568					.18220521	.4697212
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_A09	2.5	211115	1	1	2	NT714	13.79326	.4764144	.34883235	.2041776	.3117664	0	15	15	1	5301	2699.442	56	0	.18134564	.81865436	2	1	1	3817.3794	957689.21	0	0	1.369e+09	6683.1204	16183.146	3825.1004	1259303.6	0	0	1.407e+09	6870.0648	14734.301	3898.187	962504.27	0	0	1.391e+09	6790.1507	16345.79	3780.4888	1270219.7	0	0	1.420e+09	6932.3954	14778.254	11/30/2021 9:18	3817.3794	957689.21	1259303.6	1	3	ABs	CD15	pomc	1	0	0	1	1	8	-199.21868	8720.9428	-14786.822	.01280876	-.17361744	-.01588437	.15807633	-.06231679	-.31866416	-.04525484	.05955185	-198.625	-167.20833	-5258.0539	-.78560529	-.78560529	-.62668735	.21834477	-.91913552	-.06193162	.62782211	-1.2349007	-.7226751	-.09072533	.9836224	-.68399883	.06043745	.15158017	.55180628	-1.82788	-.80829823	-.29202139	-.57356078	-.24400246
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_A10	2.5	211115	1	1	2	NT722	19.34001	.5785032	.52324853	.2041776	.4676496	0	23	23	1	6625	14401.344	423	0	.00137982	.99862015	2	4	4	4530.0268	1286100.5	0	0	1.855e+09	9059.6818	18397.069	4377.8736	1679769.3	0	0	1.853e+09	9045.7365	16687.036	4490.4965	1291424	0	0	1.860e+09	9079.8191	18416.808	4345.2858	1688562	0	0	1.883e+09	9194.2167	16811.135	11/30/2021 9:18	4530.0268	1286100.5	1679769.3	0	1	ABs	CD15	pomc	1	0	0	1	1	8	513.42865	23328.376	-7286.7408	.02731657	-.04364996	.15147683	.27220971	-.18351026	-.52651498	-.04670449	-.01710464	1125.375	199.79167	6443.8482	2.5021065	2.5021065	1.8682417	.44776752	1.8682417	.09297185	1.0599736	-.82452986	-.7226751	.74242261	1.4165091	-.03020493	.15158017	.84593257	-.05083191	-2.4699415	-1.6716437	-.36352035	.84593257	1.2679403
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_B08	2.5	211115	1	1	2	NT707		.1020888	.11099211	.0340296	.1558832	0	8	8	1	6255	9377.502	259	0	.00138413	.99861586	2	2	2	4120.2377	1033593.8	0	0	1.512e+09	7382.504	17123.475	4010.7419	1401841.4	0	0	1.559e+09	7612.9876	15782.361	4060.4981	1047470.7	0	0	1.514e+09	7390.4279	17062.56	4000.8009	1408809.8	0	0	1.564e+09	7638.7952	15782.678	11/30/2021 9:18	4120.2377	1033593.8	1401841.4			ABs	CD15	pomc	1	0	0	1	1	8	103.63957	-48733.712	-47749.591	-.17003356	-.30682438	-.24755151	-.22678827					755.375	35.791667	1420.0062	.34726125	.34726125	-.03095097	-.87290282	.06193162	-.70392179	-1.172581	-1.552754	-1.4165091	-1.7260559	-1.1430639	-1.0868379	-1.1430639	-1.5041991					.43625655	.57356078
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_B09	2.5	211115	1	1	2	NT715	11.6599	.2722368	.42811243	.1361184	.6235328	0	16	16	1	5203	13202.531	373	0	.00445264	.99554729	2	3	3	3694.1113	900446.78	0	0	1.327e+09	6478.6149	16256.19	3487.2105	1164348.1	0	0	1.349e+09	6584.6055	14949.916	3664.1768	925180.05	0	0	1.332e+09	6503.5359	16169.307	3495.2458	1170359.5	0	0	1.343e+09	6557.8293	14866.531	11/30/2021 9:18	3694.1113	900446.78	1164348.1	0	1	ABs	CD15	pomc	1	0	0	1	1	8	-322.48685	5757.8472	-38310.697	-.05343696	.1349095	.06251384	-.04459569	-.0834878	.09706478	.1031086	-.07593429	-296.625	149.79167	5245.0354	-1.3249577	-1.3249577	-1.1886742	.09297185	-1.5932188	-.44776752	-.62782211	-.53831232	-1.0084197	.33856194	-.37072365	.50372046	-.50372046	.43625655	-.80829823	.6325508	-1.2010554	.90613413	-.60953682	-.37072365
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_B10	2.5	211115	1	1	2	NT723	14.21993	.4083552	.34883235	.2382072	.7014744	0	24	24	1	6569	8534.6974	245	0	.01150823	.98849177	2	2	2	4211.2926	1056323.2	0	0	1.537e+09	7503.817	17100.055	3944.3376	1444519	0	0	1.596e+09	7793.3777	15747.951	4004.2044	1047321.2	0	0	1.519e+09	7418.2426	17029.059	3943.822	1425109.3	0	0	1.569e+09	7661.6854	15657.013	11/30/2021 9:18	4211.2926	1056323.2	1444519	1	3	ABs	CD15	pomc	1	0	0	1	1	8	194.69447	-66098.915	-57836.571	.06315964	.18693538	-.02382121	.10356728	-.03704324	-.03083932	-.05581554	-.0223732	1069.375	21.791667	577.20149	.78560529	.78560529	.25015286	-1.1886742	.28221615	-.82846465	.22847485	-.37072365	-.5914531	-.09072533	.76246398	.60953682	.50372046	.09072533	-.18739448	-.08478486	-.47451159	-.39995564	.76246398	1.1430639
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_C07	2.5	211115	1	1	2	NT700		.0340296	.19027219	0	.389708	0	1	1	1	6387	12109.516	342	0	.01110914	.98889089	2	3	3	3855.5308	981136.47	0	0	1.407e+09	6868.4399	16518.791	3845.7913	1341249.4	0	0	1.488e+09	7267.1688	15451.444	3857.8921	996598.51	0	0	1.431e+09	6989.0856	16646.546	3845.6552	1348038.3	0	0	1.494e+09	7292.6912	15440.568	11/30/2021 9:18	3855.5308	981136.47	1341249.4			ABs	CD15	pomc	1	0	0	1	1	8	-161.06732	15368.817	45050.991	-.21675749	-.05032333	-.16209833	-.30538648					887.375	118.79167	4152.0201	-.66480873	-.66480873	-.44776752	.38032564	-.34726125	.70392179	-1.7260559	-1.0084197	-2.0952972	-1.0338532	-1.8790258	-.06043745	-1.605273	-.76246398					.64631977	.80349836
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_C08	2.5	211115	1	1	2	NT708	16.45997	.6125328	.65009666	.4083552	1.0132408	0	9	9	1	6321	8620.6644	262	0	.00278512	.99721485	2	2	2	4003.6367	1054648.4	0	0	1.628e+09	7949.7109	18228.161	4069.4703	1485133.1	1	6	1.694e+09	8269.6799	16398.752	4030.3612	1054409.2	0	0	1.634e+09	7979.8203	18268.582	4052.8751	1468145.8	1	11	1.663e+09	8120.1251	16253.792	11/30/2021 9:18	4003.6367	1054648.4	1485133.1	1	3	ABs	CD15	pomc	1	0	0	1	1	8	-12.961398	23664.504	103110.08	.20610551	.54729375	.29067116	.2851613	.08292945	.29472403	.16797389	.10987149	821.375	38.791667	663.16853	-.09297185	-.09297185	.21834477	.48224821	.48224821	1.253905	1.3024252	.60953682	.41970798	1.172581	1.5041991	1.8790258	1.7260559	1.3385326	1.2010554	1.4443212	.95844614	1.2010554	.53831232	.64631977
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_C10	2.5	211115	1	1	2	NT724		.0680592	.12684813	.0340296	.2338248	0	25	25	1	5049	17159.254	412	0	.0021342	.99786586	2	4	4	4011.7223	984306.64	0	0	1.431e+09	6985.2631	16647.016	3972.3044	1328389.3	0	0	1.487e+09	7263.1172	15297.129	4146.903	1007454.8	0	0	1.459e+09	7123.0689	16760.008	3982.6057	1320404.1	0	0	1.478e+09	7217.8422	15266.156	11/30/2021 9:18	4011.7223	984306.64	1328389.3	1	3	ABs	CD15	pomc	1	0	0	1	1	8	-4.8758014	-50237.667	-58319.141	-.13920448	-.28395369	-.24668731	-.23522314					-450.625	188.79167	9201.7577	0	0	-.38032564	-.96742157	-.41381125	-.87290282	-1.3385326	-1.4165091	-1.4165091	-1.552754	-1.2679403	-.9836224	-.88994769	-1.4165091					-.76246398	-.57356078
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_D07	2.5	211115	1	1	2	NT701	16.24663	.6465624	.6976647	.340296	1.0911824	0	2	2	1	5915	11599.789	311	0	.0012618	.99873823	2	3	3	4235.1506	1026655.3	1	5	1.446e+09	7059.0587	16589.877	3944.3376	1386678.5	0	0	1.514e+09	7390.2337	15502.993	4232.4486	1028539.4	1	5	1.435e+09	7005.9918	16507.579	3894.614	1392091.7	0	0	1.536e+09	7498.3783	15589.772	11/30/2021 9:18	4235.1506	1026655.3	1386678.5	1	3	ABs	CD15	pomc	1	0	0	1	1	8	218.55243	-106272.39	-129502.38	.12535199	.64791161	.34441231	.30865189	.01907949	.44564301	.21993769	.15086885	415.375	87.791667	3642.2935	1.0180757	1.0180757	-.12410193	-1.8682417	-.09297185	-2.0853556	1.5041991	.84593257	-.03020493	1.458952	1.605273	2.0952972	.80349836	1.5041991	1.3541903	2.0481986	.22198659	1.5480028	.01510074	.40327356
