filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	sec16b_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_A05	22	49	1	0	0	1	0	BA001	k5	5599	20988.807	700	0	.00203282	.99796718	2.5	51	2	4	4	4295.1452	1117663	0	0	1.497e+09	7311.7838	16346.255	4103.4907	1534509.9	0	0	1.607e+09	7844.7936	15533.71	4321.4338	1133184.8	0	0	1.521e+09	7425.1281	16459.242	4103.4907	1516176.8	0	0	1.580e+09	7714.8021	15429.978	11/30/2021 9:41	4295.1452	1117663	1534509.9	1	ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	315.43752	-40098.416	-40916.739	685.64252	298.625	3844.0354	1.2745912	1.4716912	.84381462	-.69882312	1.146632	-.51384271	.23958643	.54493414
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_A06	22	49	.31701321	.68298679	1	0		BA009	k5	5265	14151.664	478	0	.00479461	.9952054	2.5	50	2	4	4	3911.4372	1026625.4	0	0	1.485e+09	7252.3158	17120.552	3784.7701	1394215.1	0	0	1.464e+09	7146.1297	15181.864	3871.987	1021630.9	0	0	1.496e+09	7304.1899	17191.706	3795.4543	1377018.4	0	0	1.436e+09	7010.7929	15009.408	11/30/2021 9:41	3911.4372	1026625.4	1394215.1		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	-68.270547	18223.442	29866.483	351.64252	76.625	-2993.1075	-.46187386	-.39444634	.09239984	.41112402	.26447874	.41112402	-.01483266	.3011323
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_A07	22	49	.93277577	.06722423	0	1	0	BA016	k5	3555	589.58434	0	0	2.190e-11	1	2.5	54	2	1	1	3700.2752	911512.45	0	0	1.308e+09	6388.5631	16117.99	3705.977	1252873.5	0	0	1.255e+09	6127.8031	13599.126	3867.2764	929187.62	0	0	1.321e+09	6451.81	16085.217	3705.0731	1237411.5	0	0	1.232e+09	6015.0105	13448.715	11/30/2021 9:41	3700.2752	911512.45	1252873.5	1	ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	-279.4325	-14694.082	4685.2392	-1358.3575	-401.375	-16555.188	-1.3863365	-1.2406802	-1.146632	-.23275595	-.67932412	-.01537869	-1.330262	-1.0582514
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_A08	22	49	1	0				BA024	k5	5833	1422.1813	0	0	5.721e-12	1	2.5	29	2	1	1	4201.1534	1237052.6	0	0	1.707e+09	8335.564	17338.607	4169.3149	1640321.7	0	0	1.733e+09	8463.1649	15894.213	4435.817	1259602.7	0	0	1.703e+09	8316.708	17225.204	4187.2523	1639723.5	0	0	1.725e+09	8421.9042	15827.624	11/30/2021 9:41	4201.1534	1237052.6	1640321.7		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	221.44568	115877.82	116599.99	919.64252	-401.375	-15722.591	.86597647	1.0351187	1.6848136	1.7521117	1.8284325	1.4716912	.46076054	.6698419
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_B05	22	50	.49035669	.50964331	.91720779	.08279221		BA002	k5	5998	31934.361	682	0	.00280991	.99719006	2.5	34	2	4	4	3964.9795	1046932.4	0	0	1.545e+09	7545.3367	17601.394	3965.3001	1419247.4	0	0	1.563e+09	7631.0032	15817.748	4136.1252	1043104.2	0	0	1.594e+09	7784.5125	18004.365	3965.4811	1436982.4	0	0	1.573e+09	7681.6559	15811.204	11/30/2021 9:41	3964.9795	1046932.4	1419247.4		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	-11.896283	17688.94	25445.159	1214.7553	280.625	14789.589	-.15439206	0	.41112402	.39444634	.46187386	.29647001	.57092964	.91356256
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_B08	22	50	.91288023	.08711977	0	1	0	BA025	k5	5323	27617.104	521	0	.00058788	.99941218	2.5	46	2	4	4	4198.337	1090058.6	0	0	1.437e+09	7015.8568	16033.282	3951.1974	1419068	0	0	1.516e+09	7401.761	15326.999	4128.1565	1122328.5	0	0	1.462e+09	7139.7572	16088.046	3945.5316	1426843.9	0	0	1.512e+09	7383.4627	15238.816	11/30/2021 9:41	4198.337	1090058.6	1419068	1	ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	221.46117	-30019.889	-103104.35	539.75534	119.625	10472.332	.82205966	1.0617624	.67932412	-.51384271	.44483124	-1.117446	.01483266	.44432901
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_C05	22	49	.11014593	.88985407	.73090278	.26909722		BA003	k5	4922	31105.817	475	0	.00139608	.99860388	2.5	56	2	4	4	3850.6563	990587.16	0	0	1.335e+09	6518.496	15770.659	3992.9216	1397026.4	0	0	1.393e+09	6801.6581	14293.904	4151.39	1021481.3	0	0	1.384e+09	6759.3764	15963.693	3998.1088	1381504.5	0	0	1.370e+09	6689.6847	14175.958	11/30/2021 9:41	3850.6563	990587.16	1397026.4		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	-129.05138	5844.3451	66113.331	8.6425172	73.625	13961.045	-.69882312	-.56723851	-.24858607	.20126573	.2804385	.80068698	-.25487898	-.01483266
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_C06	22	49	.94452767	.05547233	.92132269	.07867731		BA011	k5	5368	16107.211	499	0	.0009587	.99904126	2.5	41	2	4	4	3851.8794	1004583.7	1	6	1.563e+09	7631.0082	17985.044	3831.4087	1362393.8	1	21	1.476e+09	7206.422	15181.711	3837.1028	1013286.7	1	8	1.553e+09	7584.1557	17886.867	3852.2366	1372981	1	20	1.487e+09	7259.84	15209.023	11/30/2021 9:41	3851.8794	1004583.7	1362393.8		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	-127.8283	19364.842	30807.949	454.64252	97.625	-1037.5605	-.67932412	-.54926721	-.10785536	.47905171	.10785536	.44483124	.05936333	.37973517
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_C07	22	49	.87236245	.12763755	0	1	0	BA018	k5	5741	27477.589	535	0	.00097076	.99902928	2.5	31	2	4	4	3981.3852	1038707.9	0	0	1.378e+09	6730.5494	15765.887	3970.4481	1430821.5	0	0	1.455e+09	7105.077	14704.522	4035.8226	1059164.4	0	0	1.416e+09	6912.1822	15956.379	3977.9471	1445476.1	0	0	1.461e+09	7132.6737	14677.012	11/30/2021 9:41	3981.3852	1038707.9	1430821.5	1	ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	1.6774865	3078.4908	27994.476	827.64252	133.625	10332.817	-.10785536	.04615064	.31257809	.18559709	.54926721	.34504392	.34803932	.65139289
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_C08	22	50	.46610301	.53389699	.81325043	.18674957		BA026	k5	4378	11219.094	237	0	.00424718	.99575281	2.5	30	2	3	3	3839.6234	988134.77	0	0	1.552e+09	7580.2224	18020.451	3823.7866	1326893.9	0	0	1.439e+09	7026.6445	14923.225	3823.9235	992949.83	0	0	1.563e+09	7632.9282	18066.009	3817.9552	1338198.9	0	0	1.454e+09	7099.9558	15005.489	11/30/2021 9:41	3839.6234	988134.77	1326893.9		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	-137.25245	7686.5764	2050.1406	-405.24466	-164.375	-5925.6775	-.82205966	-.67932412	-.2804385	.24858607	-.12333669	-.03076103	-.6698419	-.27023139
