filename	date	plate	batch	tank	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Wellfolder	age	Imaged	protein	ldl	gluc	tc	tg	freeze_dried	pos_bio	batch_bio	pcsk1_nwt	pcsk1_dich	qRNA	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	ROI_edge	PostCheckValid	NrLipids	LiverRefinedArea	LipidArea	AverageLipidsIntensity	AverageLipidsBGIntensity	bld	bodyfat	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	tod	length_Res	dorsal_area_Res1	lateral_area_Res1	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	NrCells_Res1	Volume_Res1	CellVolume_Av_Res1	CellVolume_Stdev_Res1	CellInt_Av_Res1	CellInt_Stdev_Res1	IV_Res1	ISA_Res1	IED_Res1	IPAL1_Res1	IPAL2_Res1	IPAL3_Res1	NrLipids_Res1	LiverRefinedArea_Res1	intlength	intdorsal_area	intlateral_area	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3	intNrLipids	intLiverRefinedArea	intldl	inttg	inttc	intgluc
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_201121_0730_W_A02	201121	1	7	29	AP008	insH2Bfabp	CD15	pcsk1	1	0	0	1	201121_0730_A02	10	1	7.590329	.7486512	.45982446	.340296	1.0132408	0	8	14	1	1	2	244483	8149	8358	37	8	30	1	1496511	78551	101	177	128	60	0	1	153	79674	12107	99.631699	131.1766	0	0	3707.0098	859982.3	0	0	1.312e+09	6406.9348	16516.196	3693.5486	1207893.1	0	0	1.435e+09	7008.2915	15657.493	3721.9012	878464.97	0	0	1.325e+09	6472.1403	16529.268	3688.4722	1214083.9	0	0	1.445e+09	7056.8785	15648.289	12/1/2020 8:44	3707.01	859982.3	1207893	0	-49.89342	-19682.08	30975.91	-.0048587	.1733701	-.0918597	-.0054136	-.0039206	.1758315	-.0909917	-.0017024	-1.681296	-7615.247	369.74	577.1733	.9334043	.2473052	80648.42	-2654.207	6.533333	9.293607	8.000232	-.3733333	-9	-21772.55	-.8707581	-1.124824	-.6118004	-.1340876	.1425233	.2967378	.4583978	.7949086	.6744897	.3318534	.0250689	.3406948	.2967378	.2880175	-.1763742	.0066666	-.7169511	-.6448142	.7514516	-.2669941	-.4904585
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_201121_0730_W_A03	201121	1	7	28	AP017	insH2Bfabp	CD15	pcsk1	1	0	0	1	201121_0730_A03	10	1	12.74543	.8167104	.55496056	.510444	1.6367736	0	17	14	1	1	2	238879	13271	7712	22	5	18	1	1185127	68182	87	160	128	62	0	1	128	86289	11490	78.190697	115.72471	0	1	3972.4738	1048637.1	0	0	1.572e+09	7674.1192	17595.095	3978.1313	1420234.4	0	0	1.647e+09	8040.15	16380.71	4020.6063	1061856.1	0	0	1.563e+09	7633.2083	17497.235	3951.6213	1429625.2	0	0	1.671e+09	8160.3723	16509.389	12/1/2020 9:11	3972.474	1048637	1420234	0	121.6362	51129.71	81132	.1646537	.8051693	-.0017834	.0424366	.1122315	.6972864	-.0386429	-.1240841	-13.6813	-13219.25	5491.74	-68.82667	-13.51961	-2.842029	-230735.6	-13023.21	-7.466667	-7.566985	7.922737	1.626667	-34	-15157.55	.0832544	.4155694	.4067242	-1.382994	.0417893	2.326348	.1933732	-.8416212	-.7949086	-.2619846	-.4958504	-.5533847	-.2189787	.2880175	.0250689	-.5152434	-.4331668	-.5519941	1.538979	.7010792	.2410404
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_201121_0730_W_B01	201121	1	7	28	AP001	insH2Bfabp	CD15	pcsk1	1	0	0	1	201121_0730_B01	10	1	5.143841	.510444	.68180869	.1361184	.3117664	0	1	14	1	1	2																							3718.947	823615.11	0	0	1.277e+09	6233.226	16508.616	3716.4371	1125109.9	1	17	1.333e+09	6508.1479	14961.891	3702.7476	851309.2	0	0	1.294e+09	6320.0156	16493.893	3790.9839	1141528.9	0	0	1.344e+09	6562.4798	14947.359	12/1/2020 8:16	3718.947	823615.1	1141529	0	-131.8906	-63290.9	-46797.29	-.2085419	-.5345337	.1340598	-.2279027	-.1849487	-.4851628	.1509718	-.1517996															-.8198138	-1.385575	-1.054037															-1.144585	-2.344598	-1.396116	1.067571
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_201121_0730_W_B02	201121	1	7	27	AP009	insH2Bfabp	CD15	pcsk1	1	0	0	1	201121_0730_B02	10	1	8.114576	.6125328	.57081658	.5444736	1.0911824	0	9	14	.1135793	0	1	200878	6927	7621	44	9	29	1	1020460	70022	82	158	119	58	0	1	241	115379	19795	135.80425	175.10932	0	1	4059.0063	972493.29	0	0	1.415e+09	6909.5599	16627.351	3847.1597	1312688	0	0	1.497e+09	7310.7093	15547.363	3907.9069	970968.02	0	0	1.413e+09	6901.5215	16617.456	3824.9088	1320284.4	0	0	1.515e+09	7398.6121	15607.662	12/1/2020 8:47	4059.006	972493.3	1312688	0	271.4784	-65875.78	-82506.55	.1992483	.2522302	.0185702	-.1437775	.1948428	.2436396	.0156593	-.1571172	-2.681296	-51220.25	-852.26	-159.8267	7.354722	.8570099	-395402.6	-11183.21	-12.46667	-9.817255	-.1847403	-2.373333	79	13932.45	.3516264	0	-.0119937	-.2447285	-.4215776	-.4215776	.1425233	1.554774	.9944579	-.612813	-.3853205	-.9153651	-.2880175	-.1933732	-.4215776	1.100127	.2907055	-.9299809	.8761429	.8994349	.3597319
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_201121_0730_W_B03	201121	1	7	29	AP018	insH2Bfabp	CD15	pcsk1	1	0	0	1	201121_0730_B03	10	1	12.04643	2.1778944	.57081658	.2041776	1.0911824	0	18	14	1	1	2																101	103225	7466	72.402463	98.500464	0	0	3778.0158	950720.83	0	0	1.500e+09	7325.4092	17726.047	3747.8537	1295192.3	0	0	1.582e+09	7725.9484	16453.576	3750.7054	953472.29	0	0	1.473e+09	7191.4893	17507.356	3748.7912	1297913.8	0	0	1.591e+09	7766.142	16451.731	12/1/2020 9:13	3778.016	950720.8	1295192	0	21.11268	40911.14	77179.79	-.1416834	.2604967	.0135105	1.401375	-.184699	.172016	-.0167195	1.264768													-61	1778.453	-.5629635	-.17915	-.0960952													-.872421	.020001	1.93999	.8761429	-.812913	.3597319
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_201121_0730_W_C01	201121	1	7	29	AP002	insH2Bfabp	CD15	pcsk1	1	0	0	1	201121_0730_C01	10	1	4.35747	.4764144	.45982446	.3062664	.5455912	0	2	14	1	1	2	178734	7149	7733	36	7	25	1	789086	62010	81	150	102	58	0	1	147	66059	9670	53.515568	67.47662	0	0	3753.1565	840363.16	0	0	1.255e+09	6128.1543	16032.444	3557.1098	1105490.7	0	0	1.273e+09	6214.1894	14574.439	3642.598	829028.32	0	0	1.222e+09	5967.5977	15821.678	3550.2972	1114313.4	0	0	1.280e+09	6250.6925	14580.142	12/1/2020 8:20	3753.156	840363.2	1105491	0	-3.746696	-58827.52	-98045.52	-.0384645	-.2997905	-.0884866	-.2641778	-.0044113	-.2288419	-.0642017	-.1548061	-6.681295	-73364.25	-630.26	-47.82667	-.0665957	-.7526948	-626776.6	-19195.21	-13.46667	-17.70639	-17.99977	-2.373333	-15	-35387.55	-.678223	-1.270823	-1.320696	-.717066	-.9281431	-.2619846	.2447285	.6744897	.2967378	-1.036433	-.7835004	-1.110772	-.5828415	-.9153651	-.4215776	-.1742078	-1.260617	-1.229064	-.8501565	-.4197869	-.4904585
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_201121_0730_W_C02	201121	1	7	28	AP010	insH2Bfabp	CD15	pcsk1	1	0	0	1	201121_0730_C02	10	1	9.163072	1.3271544	.53910454	.4764144	.389708	0	10	14	.8866765	1	2	165513	8711	7809	40	10	19	1	937020	58269	82	171	82	65	0	1	130	73100	11048	64.28124	91.554652		0	4019.9033	901613.16	0	0	1.265e+09	6178.7172	15636.315	3797.3962	1200206.9	0	0	1.346e+09	6570.9839	14824.867	4015.139	902988.89	0	0	1.271e+09	6205.9081	15676.142	3787.0452	1206995.8	0	0	1.349e+09	6587.407	14826.038	12/1/2020 8:51	4019.903	901613.2	1200207	0	169.0657	-117395	-168206.2	.1311184	-.4483257	-.013704	.5685987	.1150479	-.4810201	-.0248546	.5180801	-12.6813	-86585.25	931.74	28.17333	4.480392	2.157971	-478842.6	-22936.21	-12.46667	3.433015	-38.07726	4.626667	-32	-28346.55	.2398758	-.4946417	-.6557862	-1.281552	-1.300781	.6536562	.279319	1.008252	1.451407	-.8064212	-.9281431	-.9153651	.1509692	-1.613358	.4676988	-.4626476	-.9428753	.4570723	-1.745187	.5409867	.1256613
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_201121_0730_W_C03	201121	1	7	27	AP019	insH2Bfabp	CD15	pcsk1	1	0	0	1	201121_0730_C03	10	1	13.79392	.9868584	.82451283	.4423848	.6235328	0	19	14	.0444495	0	1	211873	7062	4820	31	8	30	1	1264899	72216	89	219	94	61	0	1	346	167831	34279	165.57145	202.17181	0	0																																	0				.0964532	-.2062344	.2666445	.2080937	.0333439	-.3362213	.2222272	.007471	-1.681296	-40225.25	-717.26	-2960.827	-5.645278	-.1429901	-150963.6	-8989.207	-5.466667	51.18274	-25.18474	.6266667	184	66384.45				-.1340876	-.227545	-.3318534	-1.065463	.2967378	.6744897	-.1425233	-.3142472	-.4215776	1.126391	-1.244452	-.0920395	2.409887	1.321994	-.1800124	-.3724957	.3487557	1.718451
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_201121_0730_W_D01	201121	1	7	27	AP003	insH2Bfabp	CD15	pcsk1	1	0	0	1	201121_0730_D01	10	1	5.930212	.6465624	.45982446	.340296	.4676496	0	3	14	1	1	2																176	84907	18168	145.51381	193.519	0	1	3660.9473	872064.82	0	0	1.325e+09	6467.7637	16511.727	3637.7712	1217313.8	0	0	1.398e+09	6828.1367	15224.917	3735.1723	889291.38	0	0	1.347e+09	6579.0311	16590.852	3632.3041	1233613.3	0	0	1.424e+09	6954.2908	15308.501	12/1/2020 8:23	3660.947	872064.8	1217314	0	-126.5807	7993.648	59729.21	-.0045056	-.3768136	-.0890488	-.0962752	.0115612	-.3430206	-.0774643	-.0442101													14	-16539.55	-1.019308	-.9060131	-.5271547													.3539128	-.4925361	-.8587541	-1.323364	-.2669941	-.4904585
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_201121_0730_W_D02	201121	1	7	29	AP011	insH2Bfabp	CD15	pcsk1	1	0	0	1	201121_0730_D02	10	1	6.367085	.5444736	.68180869	.3062664	.9352992	0	11	14	1	1	2																138	103170	12062	89.9965	123.69901	41.56381	0	3927.1109	971267.09	0	0	1.426e+09	6960.6346	16715.363	3744.4647	1284007	0	0	1.484e+09	7246.5235	15534.522	3927.9371	963461.3	0	0	1.408e+09	6872.6173	16623.142	3711.2027	1303416.7	0	0	1.519e+09	7418.9722	15706.698	12/1/2020 8:54	3927.111	971267.1	1284007	0	170.2077	-3701.379	-22832.49	-.0391002	.098184	.1284379	-.2163276	-.0204783	.1370993	.1417599	-.1564209													-24	1723.453	-.1071223	-.01188	-.205322													-.3046427	.0066666	-1.036433	.6374841	-.4197869	1.067571
