index	ldl	gluc	tc	tg	freeze_dried	pos_bio	Löpnr	batch_bio	protein	filename	batch	tank	line	diet	Exp	date	filename9	filename10	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	tod	early_nwt	early_dich	late_nwt	late_dich	sec16b_dich	late_wt	late_inframe	late_frameshift	late_Area_total	late_wt_call	early_wt	early_inframe	early_frameshift	early_Area_total	early_wt_call	gene	qRNA	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	ROI_edge	LocalName	NrLipids	LiverRefinedArea	LipidArea	AverageLipidsIntensity	AverageLipidsBGIntensity	PostCheckValid	LiverArea	NrofSpots	bld	bodyfat	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	Border_size_length	dorsal_area	lateral_area	Border_size_lat_area	length_Res	dorsal_area_Res	lateral_area_Res	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	NrCells_Res1	Volume_Res1	CellVolume_Av_Res1	CellVolume_Stdev_Res1	CellInt_Av_Res1	CellInt_Stdev_Res1	IV_Res1	ISA_Res1	IED_Res1	IPAL1_Res1	IPAL2_Res1	IPAL3_Res1	NrLipids_Res1	LiverRefinedArea_Res1	NrLipids_Res2	intlength	intdorsal_area	intlateral_area	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3	intNrLipids	intLiverRefinedArea	intldl	inttg	inttc	intgluc
AN215	32.055924	15.359064	37.976421	103.80222	0	19	215	46	19.775743	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_a01	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	a01	1	0	0	1	1	0	10	1	.2624263		0	0		1	0	0	22205	1	.73757372	.04296546	.21946083	2374	1	SEC16B																																																																-.8540265	5.357948	2.49706	.8808492	-1.53463	2.277962	2.003756	.2334865																																	.4806444	.0834373	-.0288527	.8279615
AN223	30.950547	9.3594294	50.635228	159.50097	0	27	223	46	16.973581	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_a02	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	a02	1	0	0	1	1	0	10	1	.087395	0	0	0	0	1	0	0	23293	1	.91260504	0	.08739496	1190	1	SEC16B	1																																																															11.95536	61.24813	-3.550289	-.2569174	11.86076	60.93307	-3.631667	-.4953417																																	.3680707	1.254339	.6805383	-.2434042
AN216	40.898938	11.999268	43.039944	91.143411	0	20	216	46	24.913042	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_b01	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	b01	1	0	0	1	1	0	10	1	.125294	0	0	0	0	1	0	0	24313	1	.87470601	0	.12529399	4677	1	SEC16B	1																																																															4.228319	-7.27693	-.8686995	9.719814	2.062811	-16.03821	-2.126781	8.023068																																	1.318969	-.1479871	.2692676	.2268854
AN224	37.582807	11.519298	50.635228	111.3975	0	28	224	46	16.973581	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_b02	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	b02	1	0	0	1	1	0	10	1	.0829204	0	0	0	0	1	0	0	20045	1	.91707962	0	.08292038	3027	1	SEC16B	1																																																															11.97418	13.16859	-1.396385	6.371294	11.85338	12.81446	-1.478375	6.113742																																	1.025498	.2959563	.6805383	.1289011
AN217	21.002157	8.6394733	27.849375	68.357558	0	21	217	46		InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_c01	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	c01	1	0	0	1	1	0	10	1	1	1	.8323858	1	1	.16761416	.55095053	.28143528	16359	1	0	0	1	505	1	SEC16B	3																																																															-10.94343	-30.03885	-4.234459	-10.18102																																					-.8324975	-.5826896	-.6525189	-.3887841
AN225	47.531198	17.998903	58.230512	146.84216	0	29	225	46	16.78677	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_c02	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	c02	1	0	0	1	1	0	10	1	1	1	.7437947	1	1	.25620535	.08370666	.660088	24777	1	0	.59305211	.40694789	2821	1	SEC16B	3																																																															19.58829	48.63718	5.077256	16.31564	19.49433	48.44914	5.022442	16.07642																																	1.800417	.9898435	1.13039	1.399916
AN218	25.423664	13.679166	35.44466	121.52455	0	22	218	46	12.209904	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_d01	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	d01	1	0	0	1	1	0	10	1	.9558427	1	.5318072		1	.46819282	.0637512	.46805599	21929	1	.04415724	.09531502	.86052773	1857	1	SEC16B	3																																																															-3.32932	23.15207	.7992694	-5.763557	-1.940275	28.26428	1.429539	-4.951016																																	-.269975	.5229299	-.1902607	.554134
AN226	37.582807	12.479239	40.508182	83.548126	0	30	226	46	23.511961	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_d02	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	d02	1	0	0	1	1	0	10	1	.5943119		.9396771	1	1	.06032288	.30657566	.63310146	38095	1	.40568813	.06113109	.53318078	3059	1	SEC16B	3																																																															1.884783	-14.63293	-.448372	6.363196	-.1449565	-22.24622	-1.50416	4.756155																																	1.025498	-.309379	.115652	.3203303
AN219	23.212911	15.839034	17.72233	91.143411	0	23	219	46	11.929687	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_e01	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	e01	1	0	0	1	1	0	10	1	.1643404	0	0	0	0	1	0	0	16945	1	.83565961	0	.16434039	2221	1	SEC16B	1																																																															-21.03283	-7.205143	2.953173	-7.978359	-19.59042	-1.824255	3.624513	-7.12875																																	-.5429279	-.1479871	-1.167603	.9321054
AN227	25.423664	21.358698	48.103467	144.3104	0	31	227	46	14.918661	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_e02	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	e02	1	0	0	1	1	0	10	1	1	1	.8706119	1	1	.12938806	.28261167	.5880003	29284	1	0	.70437018	.29562982	389	1	SEC16B	3																																																															9.49889	46.15328	8.425122	-5.799996	9.88295	47.93879	8.646964	-5.702827																																	-.269975	.9488223	.5302942	1.949112
AN220	39.793561	13.919151	43.039944	103.80222	0	24	220	46	20.149365	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_f01	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	f01	1	0	0	1	1	0	10	1	.7229321	1	1	1	1	0	0	1	29236	0	.27706792	0	.72293208	1487	1	SEC16B	3																																																															4.303609	5.477592	1.027326	8.598243	3.385889	1.791865	.4753888	7.780315																																	1.232001	.0834373	.2692676	.5843656
AN228	36.477431	13.679166	37.976421	81.016365	0	32	228	46	17.066986	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_f02	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	f02	1	0	0	1	1	0	10	1	1	1	1	1	1	0	0	1	29091	0	0	.31940298	.68059702	335	1	SEC16B	3																																																															-.6093332	-17.11683	.7396262	5.249722	-.8614805	-17.72987	.6412964	4.896929																																	.9222268	-.3636592	-.0288527	.554134
AN221	26.529041	11.519298	32.912898	101.27046	0	25	221	46	13.984607	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_g01	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	g01	1	0	0	1	1	0	10	1	1	1			1						0	.30788382	.69211618	1205	1	SEC16B	3																																																															-5.804614	2.96976	-1.378492	-4.670327	-4.998101	6.015604	-1.014042	-4.271075																																	-.1094816	.012822	-.3670858	.1289011
AN229	37.582807	11.759283	58.230512	146.84216	0	33	229	46	13.424174	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_g02	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	g02	1	0	0	1	1	0	10	1	0	0	0	0	0	1	0	0	21604	1	1	0	0	654	1	SEC16B	1																																																															19.66358	48.73289	-1.186221	6.35105	20.41958	52.08162	-.7432992	6.709674																																	1.025498	.9898435	1.13039	.1809456
AN222	24.318287	8.8794586	25.317614	48.103467	0	26	222	46	17.440608	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_h01	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	h01	1	0	0	1	1	0	10	1	1	1			1						0	.13129771	.86870229	1310	1	SEC16B	3																																																															-13.38108	-50.1733	-4.024295	-6.885129	-13.58208	-50.9622	-4.174532	-7.198085																																	-.4307273	-.9093387	-.829804	-.323715
AN230	36.477431	9.5994147	53.166989	103.80222	0	34	230	46	17.160391	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate01_sec16b_200817_0900_h02	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	h02	1	0	0	1	1	0	10	1	.8378864	1			1						.16211359	.47663551	.3612509	2782	1	SEC16B	3																																																															14.61888	5.716881	-3.352054	5.241625	14.2878	4.923096	-3.4655	4.831845																																	.9222268	.0834373	.8388838	-.2071439
AN231	12.159144	2.8798244	7.5952842	10.127046	0	35	231	46	15.665905	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_a03	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	a03	1	0	0	1	2	0	10	1																																																																																-30.934	-87.93436	-10.07761	-19.08071	-30.86694	-87.12585	-9.969364	-19.20991																																	-1.816911	-1.68457	-1.818068	-1.993984
AN239	25.423664	5.9996342	25.317614	43.039944	0	43	239	46	17.907635	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_a04	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	a04	1	0	0	1	2	0	10	1	.9006065	1	1	1	1	0	.1343478	.8656522	19189	0	.09939353	.08962264	.81098383	2968	1	SEC16B	3																																																															-13.06109	-54.83003	-7.005513	-5.84858	-13.8402	-56.79622	-7.235615	-6.580363																																	-.269975	-1.010992	-.829804	-.9321054
AN232	29.845171	18.718859	40.508182	121.52455	0	36	232	46	21.550447	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_b03	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	b03	1	0	0	1	2	0	10	1	.9037545	1	.8463584	1	1	.15364158	.11778331	.72857511	23314	1	.09624547	.10672765	.79702687	5247	1	SEC16B	3																																																															1.997718	23.48707	5.755462	-1.398733	.3677014	17.7936	4.987777	-2.727168																																	.2599896	.5229299	.115652	1.481544
AN240	27.634417	10.079385	32.912898	60.762274	0	44	240	46	23.605366	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_b04	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	b04	1	0	0	1	2	0	10	1	.9376965	1	.7035295	1	1	.29647046	.20950888	.49402067	17226	1	.06230351	.15947413	.77822235	3499	1	SEC16B	3																																																															-5.446985	-37.08377	-2.931726	-3.641876	-7.870129	-45.34677	-4.009969	-5.535432																																	.0032136	-.688642	-.3670858	-.1451209
AN233	26.529041	12.95921	32.912898	101.27046	0	37	233	46	17.627419	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_c03	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	c03	1	0	0	1	2	0	10	1	.1413825	0	0	0	0	1	0	0	21005	1	.85861745	0	.14138255	3197	1	SEC16B	1																																																															-5.578743	3.256906	-.0101515	-4.718912	-6.12105	1.832953	-.1949024	-5.279733																																	-.1094816	.012822	-.3670858	.4307273
AN241	25.423664	17.278947	35.44466	96.206933	0	45	241	46	15.946121	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_c04	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	c04	1	0	0	1	2	0	10	1	.4071768		.038828	0		.96117198	0	.03882801	25188	1	.59282325	.04092527	.36625148	3372	1	SEC16B																																																																-2.896401	-1.615187	4.26187	-5.856678	-3.170963	-1.505236	4.322319	-6.233345																																	-.269975	-.0802211	-.1902607	1.245847
AN234	25.423664	11.279312	27.849375	63.294035	0	38	234	46	23.792177	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_d03	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	d03	1	0	0	1	2	0	10	1	1	1	.916271	1	1	.08372901	.06703426	.84923673	19587	1	0	.26211454	.73788546	2270	1	SEC16B	3																																																															-10.62344	-34.69559	-1.696013	-5.828337	-12.9424	-42.92927	-2.798375	-7.644593																																	-.269975	-.6485581	-.6525189	.0739808
AN242	46.425821	10.559356	43.039944	48.103467	0	46	242	46	22.29769	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_d04	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	d04	1	0	0	1	2	0	10	1	1	1	1	1	1	0	.2750679	.72493213	29091	0	0	.15750916	.84249084	3003	1	SEC16B	3																																																															4.717705	-49.69473	-2.463684	15.14143	2.613456	-56.59968	-3.348635	13.47187																																	1.710467	-.9093387	.2692676	-.0675375
