file	filename	index	tank	plate	Project	column	row	line	diet	filename3	vast	filename5	Exp	date	well	overfeeding	cholesterol	glucose	VAST	Imaged	age	length	dorsal_area	lateral_area	tod	mc4r_nwt	mc4r_dich	qRNA	gene	bodyfat	pomca_nwt	pomca_dich	negr1_nwt	negr1_dich	irs1_nwt	irs1_dich	irs2a_nwt	irs2b_nwt	irs2_nwt	irs2_dich	batch	flag	new_flag	newpooled_tank	intlength	intdorsal_area	intlateral_area
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_E09	UD464	1	plate01	CD15	1	E	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	E09	1	0	0	2	1	11	4221.2266	1202898.5	1628059.8	7.6333332	1	1	2	MC4R	1											3			31	.15577093	.37029186	.19283603
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_E02	UD013	1	plate01	CD15	2	E	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	E02	1	0	0	2	1	11	3820.1531	1463420.4	1668584	4.7333331	0	0	1	MC4R	0											3			31	-.67067564	1.8415979	.37029186
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_A08	UD057	1	plate01	CD15	8	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	A08	1	0	0	2	1	11	4339.7813	1353780.5	1753759.8	7.2666669	.98208684	1	2	MC4R	1											3			31	.44299826	1.1503494	.76516253
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_E07	UD053	1	plate01	CD15	7	E	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	E07	1	0	0	2	1	11								MC4R	0											3			31			
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_E04	UD029	1	plate01	CD15	4	E	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	E04	1	0	0	2	1	11					1	1	2	MC4R	0											3			31			
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_A05	UD033	1	plate01	CD15	5	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	A05	1	0	0	2	1	11								MC4R	0											3			31			
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_A10	UD468	1	plate01	CD15	10	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	A10	1	0	0	2	1	11	3837.1245	903497.31	1284664.9	7.9499998	1	1	2	MC4R	0											3			31	-.62563652	-.96904194	-.96904194
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_E06	UD045	1	plate01	CD15	6	E	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	E06	1	0	0	2	1	11	3775.1902	912948	1328808	6.3166666	1	1	2	MC4R	0											3			31	-.78157222	-.93082952	-.8321225
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_A07	UD049	1	plate01	CD15	7	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	A07	1	0	0	2	1	11	4004.8228	896409.31	1356502.1	6.6833334	1	1	2	MC4R	0											3			31	-.29949406	-1.0395615	-.74895638
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_A02	UD009	1	plate01	CD15	2	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	A02	1	0	0	2	1	11								MC4R	0											3			31			
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_A03	UD017	1	plate01	CD15	3	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	A03	1	0	0	2	1	11	3916.7258	1013376.4	1433034.6	4.9000001	1	1	2	MC4R	1											3			31	-.48364085	-.57464123	-.53209502
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_E08	UD061	1	plate01	CD15	8	E	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	E08	1	0	0	2	1	11								MC4R	0											3			31			
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_E03	UD021	1	plate01	CD15	3	E	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	E03	1	0	0	2	1	11					1	1	2	MC4R	0											3			31			
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_E01	UD005	1	plate01	CD15	1	E	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	E01	1	0	0	2	1	11								MC4R	0											3			31			
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_E10	UD470	1	plate01	CD15	10	E	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	E10	1	0	0	2	1	11	4328.4995	1164527.6	1636433.8	7.8499999	.025490073	0	1	MC4R	1											3			31	.39648458	.18045406	.24895181
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_A06	UD041	1	plate01	CD15	6	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	A06	1	0	0	2	1	11	4622.7935	1189829.1	1659791.3	6.5166669																3			31	1.2371823	.32504684	.33146766
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_E05	UD037	1	plate01	CD15	5	E	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	E05	1	0	0	2	1	11	4830.2402	1501462.4	1945076.3	6.0666666	1	1	2	MC4R	0											3			31	2.0923438	2.150023	2.150023
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_A01	UD001	1	plate01	CD15	1	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	A01	1	0	0	2	1	11								MC4R	0											3			31			
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_A04	UD025	1	plate01	CD15	4	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	A04	1	0	0	2	1	11	3411.8931	830762.94	1193418	5.75	.96595562	1	2	MC4R	1											3			31	-1.3494749	-1.2774135	-1.1503494
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_B02	UD010	2	plate01	CD15	2	B	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	B02	1	0	0	2	1	11	3254.4678	760720.19	1098492.4	4.8333335	1	1	2	MC4R	0											3			32	-1.601694	-1.6240323	-1.3198258
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_F03	UD022	2	plate01	CD15	3	F	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	F03	1	0	0	2	1	11	3611.7939	1067269.3	1434829.1	5.4166665	.046298571	0	1	MC4R	0											3			32	-1.0822843	-.27413538	-.5216102
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_B04	UD026	2	plate01	CD15	4	B	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	B04	1	0	0	2	1	11	2073.0232	908761	899250.5	5.7166667	1	1	2	MC4R	0											3			32	-2.5081673	-.94976234	-1.9123974
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_B10	UD469	2	plate01	CD15	10	B	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	B10	1	0	0	2	1	11	3172.4319	646026	859264.5	7.9333334	.021312416	0	1	MC4R	0											3			32	-1.6472116	-2.2158902	-1.9943254
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_B07	UD050	2	plate01	CD15	7	B	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	B07	1	0	0	2	1	11	4202.4058	1015111.1	1444877.9	6.7166667	1	1	2													3			32	.08222723	-.56747967	-.4632239
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_B06	UD042	2	plate01	CD15	6	B	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	B06	1	0	0	2	1	11								MC4R	0											3			32			
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_F08	UD062	2	plate01	CD15	8	F	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	F08	1	0	0	2	1	11								MC4R	0											3			32			
MC4R	InsH2Bfabp_CD15_11dpf_VAST02_plate01_MC4R_230314_F01	UD006	2	plate01	CD15	1	F	InsH2Bfabp	CD15	11dpf	VAST02	plate01	MC4R	230314	F01	1	0	0	2	1	11	3859.4016	1247340.8	1648247.1	4.5333333	.070171066	0	1	MC4R	0											3			32	-.57464123	.54616654	.31224495
