barcode	arid5b_D	arid5b_G	mc4r_D	mc4r_G	negr1_D	negr1_G	pcsk1_D	pcsk1_G	filename_zebrafish	bin_liver	obj_liver	bin_beta	obj_beta	protein	ldl	tc	tg	gluc	Löpnr	pos_bio	batch_bio	area_insexpr	bld	bodyfat	N_beta_cells	beta_cell_volume	mean_mean_insexpr	LiverArea	NrofSpots	batch	tod	annotationquality_lipids	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	ROI_edge	AnnotationQuality_bc_moving	AnnotationQuality_bc_cut	length	Border_size_length	dorsal_area	lateral_area	Border_size_lateral	NrLipids	LiverRefinedArea	LipidArea	AverageLipidsIntensity	AverageLipidsBGIntensity	age	Imaged	Exp	line	energy	cholesterol	glucose	tank	n	lepr_D	lepr_G	pomca_D	pomca_G	pomcb_D	pomcb_G	sec16b_D	sec16b_G	lepr_homo	mc4r_homo	negr1_homo	pcsk1_homo	pomca_homo	sec16b_homo	score1	hdl	beta_cell_volume_Res2	mean_mean_insexpr_Res2	irs1_D	irs1_G	sh2b1_D	sh2b1_G	sim1b_D	sim1b_G	ExperimentName	bdnf_D	bdnf_G	irs2a_D	irs2a_G	irs2b_D	irs2b_G	sim1a_D	sim1a_G	irs1_homo	irs2b_homo	sh2b1_homo	sim1b_homo	score2	experiment	length_Res	dorsal_area_Res	lateral_area_Res	ldl_Res	tg_Res	tc_Res	gluc_Res	NrCells_Res1	Volume_Res1	CellVolume_Av_Res1	CellVolume_Stdev_Res1	CellInt_Av_Res1	CellInt_Stdev_Res1	IV_Res1	ISA_Res1	IED_Res1	IPAL1_Res1	IPAL2_Res1	IPAL3_Res1	LiverArea_Res1	NrofSpots_Res1	NrLipids_Res1	LiverRefinedArea_Res1	LipidArea_Res1	AverageLipidsIntensity_Res1	ldl_Res1	tg_Res1	tc_Res1	gluc_Res1	inttc	inttg	intgluc	intldl	intlength	intdorsal_area	intlateral_area	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3	intLiverArea	intNrofSpots	intNrLipids	intLiverRefinedArea	intLipidArea	intAverageLipidsIntensity
1001	.05323442	.06231454	0	0	1	1	.34994048	.41369048	"OB_Mix1_181014_10dpf_tank01_lipids_plate01_a01"					.10634041	.974484	.4547592	2.6783568	.96865843	1	1	1									53	1																												10	0	"OB_POP1"	"insH2B_lfabp"	1	0	0	46		0	0	2	2	0	0	0	0	0	0			1	0	3.4031749	.162414			0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0				.2947671	.3083311	-.0085293	.0687535																			.2886051	-.0497473	-.0330675	-.0658647	.2729904	.5470719	.4196636	-.6403106																					
1008	0	0	1	1	0	0	0	0	"OB_Mix1_181014_10dpf_tank01_lipids_plate01_a02"					.0795061	.3897936	.3573108	1.487976	.59027623	9	9	1									53	1																												10	0	"OB_POP1"	"insH2B_lfabp"	1	0	0	46		0	0	0	0	0	0	0	0	0		0	0	0	0	1	.324828			0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0				-.2780455	-.896459	-.1113675	-.325826																			-.2736093	-.6932476	-.095717	-.2667983	-.3182016	-.3783383	-.4086511	-1.566733																					
1002	0	0	0	0	0	0	.66	1	"OB_Mix1_181014_10dpf_tank01_lipids_plate01_b01"					.10558451	.81207	.4222764	2.5295592	1.3773112	2	2	1									53	1																												10	0	"OB_POP1"	"insH2B_lfabp"	1	0	0	46		1	1	1	1	0	0	1	1		0	0				3.66	.2273796			0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0				.1338378	.1577323	-.0416859	.4753816																			.1279547	-.1826065	-.0650817	.3477996	.0783081	.4089138	1.090399	-.8143472																					
1009	0	0	0	0	0	0	0	0	"OB_Mix1_181014_10dpf_tank01_lipids_plate01_b02"					.06438818	.8445528	.4222764	1.0415832	.51459979	10	10	1									53	1																												10	0	"OB_POP1"	"insH2B_lfabp"	1	0	0	46		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.2273796			0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0				.1781984	-1.344653	-.0470756	-.4035272																			.1886944	-.8339533	-.0088299	-.2425623	.0783081	-.7864448	-.6872337	-.759751																					
1003	0	0	2	2	.66	1	0	0	"OB_Mix1_181014_10dpf_tank01_lipids_plate01_c01"					.10482862	1.0069668	.487242	3.4223448	1.0594702	3	3	1									53	1																												10	0	"OB_POP1"	"insH2B_lfabp"	1	0	0	46		1	1	0	0	0	0	0	0		1		0	0	0	3.66	.2273796			0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0				.3302194	1.048717	.022606	.1555159																			.3246152	.7261176	.0003525	.0349701	.4712668	1.024827	.5426576	-.6159168																					
1010	0	0	2	2	0	0	0	0	"OB_Mix1_181014_10dpf_tank01_lipids_plate01_c02"					.09160043	.6171732	.487242	2.0831664	.66595267	11	11	1									53	1																												10	0	"OB_POP1"	"insH2B_lfabp"	1	0	0	46		0	0	2	2	0	0	1	1	0	1	0	0	1		5	.1299312			0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0				-.0476964	-.3048709	.0172162	-.254199																			-.0481789	-.340679	.0148276	-.2710049	.4712668	.131871	-.1898044	-1.099299																					
1004	0	0	1	1	0	0	.34994048	.41369048	"OB_Mix1_181014_10dpf_tank01_lipids_plate01_d01"					.09235633	.6171732	.487242	2.7527556	.92325257	4	4	1									53	1																												10	0	"OB_POP1"	"insH2B_lfabp"	1	0	0	46		0	0	2	2	0	0	1	1	0		0		1		4.3499405	.1948968			0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0				-.0580895	.3773264	.0219323	.0172737																			-.0586989	.3088407	.0183221	-.0188169	.4712668	.6080404	.3027285	-1.099299																					
1011	0	0	2	2	0	0	0	0	"OB_Mix1_181014_10dpf_tank01_lipids_plate01_d02"					.08479737	.5522076	.487242	2.9015532	1.3621759	12	12	1									53	1																												10	0	"OB_POP1"	"insH2B_lfabp"	1	0	0	46		0	0	1	1	0	0	0	0	0	1	0	0		0	3	.2598624			0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0				-.1111773	.5117148	.0165425	.4399996																			-.1089469	.6156456	.024329	.4701881	.4712668	.6839228	1.060365	-1.23801																					
1005	.05323442	.06231454	2	2	1	1	0	0	"OB_Mix1_181014_10dpf_tank01_lipids_plate01_e01"					.09991529	.5846904	.5522076	2.9015532	.86271142	5	5	1									53	1																												10	0	"OB_POP1"	"insH2B_lfabp"	1	0	0	46		0	0	1	1	0	0	0	0	0	1		0		0	4.0532344	.1299312			0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0				-.0890876	.5243228	.0862242	-.0452922																			-.0927648	.3058275	.0713362	-.1292892	.8302906	.6839228	.1949525	-1.179124																					
1012	.05323442	.06231454	.95596273	1.0900621	1	1	.34994048	.41369048	"OB_Mix1_181014_10dpf_tank01_lipids_plate01_e02"					.09235633	.4547592	.3897936	3.71994	1.4227171	13	13	1									53	1																												10	0	"OB_POP1"	"insH2B_lfabp"	1	0	0	46		.42483582	.42686567	0	0	0	0	2	2					0	1	4.7839735	.2273796			0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0				-.207141	1.3283	-.0815796	.4985161																			-.2079784	1.282222	-.085071	.4807981	-.1201271	1.239557	1.150349	-1.476486																					
