barcode	arid5b_D	arid5b_G	mc4r_D	mc4r_G	negr1_D	negr1_G	pcsk1_D	pcsk1_G	filename_zebrafish	bin_liver	obj_liver	bin_beta	obj_beta	protein	ldl	tc	tg	gluc	Löpnr	pos_bio	batch_bio	area_insexpr	bld	bodyfat	N_beta_cells	beta_cell_volume	mean_mean_insexpr	LiverArea	NrofSpots	batch	tod	annotationquality_lipids	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	ROI_edge	AnnotationQuality_bc_moving	AnnotationQuality_bc_cut	length	Border_size_length	dorsal_area	lateral_area	Border_size_lateral	NrLipids	LiverRefinedArea	LipidArea	AverageLipidsIntensity	AverageLipidsBGIntensity	age	Imaged	Exp	line	energy	cholesterol	glucose	tank	n	lepr_D	lepr_G	pomca_D	pomca_G	pomcb_D	pomcb_G	sec16b_D	sec16b_G	lepr_homo	mc4r_homo	negr1_homo	pcsk1_homo	pomca_homo	sec16b_homo	score1	hdl	length_Res	dorsal_area_Res	lateral_area_Res	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	N_beta_cells_Res1	beta_cell_volume_Res1	NrCells_Res1	Volume_Res1	CellVolume_Av_Res1	CellVolume_Stdev_Res1	CellInt_Av_Res1	CellInt_Stdev_Res1	IV_Res1	ISA_Res1	IED_Res1	IPAL1_Res1	IPAL2_Res1	IPAL3_Res1	NrofSpots_Res1	LiverArea_Res1	NrLipids_Res1	LiverRefinedArea_Res1	LipidArea_Res1	AverageLipidsIntensity_Res1	beta_cell_volume_Res2	mean_mean_insexpr_Res1	mean_mean_insexpr_Res2	inttc	inttg	intgluc	intldl	intlength	intdorsal_area	intlateral_area	intN_beta_cells	intbeta_cell_volume	intmean_mean_insexpr	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3	intNrofSpots	intLiverArea	intNrLipids	intLiverRefinedArea	intLipidArea	intAverageLipidsIntensity
1001	.05323442	.06231454	0	0	1	1	.34994048	.41369048	OB_Mix1_181014_10dpf_tank01_lipids_plate01_a01					.10634041	.974484	.4547592	2.6783568	.96865843	1	1	1									53	1																												10	0	OB_POP1	insH2B_lfabp	1	0	0	46		0	0	2	2	0	0	0	0	0	0			1	0	3.4031749	.162414				-.0085293	.3083311	.0687535	.2947671	-.0330675	-.0497473	-.0658647	.2886051																								.333461	.3757214	.2201719	-.0498873																								
1008	0	0	1	1	0	0	0	0	OB_Mix1_181014_10dpf_tank01_lipids_plate01_a02					.0795061	.3897936	.3573108	1.487976	.59027623	9	9	1									53	1																												10	0	OB_POP1	insH2B_lfabp	1	0	0	46		0	0	0	0	0	0	0	0	0		0	0	0	0	1	.324828				-.1113675	-.896459	-.325826	-.2780455	-.095717	-.6932476	-.2667983	-.2736093																								-.2608668	-.6436708	-.5863494	-1.262145																								
1002	0	0	0	0	0	0	.66	1	OB_Mix1_181014_10dpf_tank01_lipids_plate01_b01					.10558451	.81207	.4222764	2.5295592	1.3773112	2	2	1									53	1																												10	0	OB_POP1	insH2B_lfabp	1	0	0	46		1	1	1	1	0	0	1	1		0	0				3.66	.2273796				-.0416859	.1577323	.4753816	.1338378	-.0650817	-.1826065	.3477996	.1279547																								.1360009	.1896234	1.158528	-.3107796																								
1009	0	0	0	0	0	0	0	0	OB_Mix1_181014_10dpf_tank01_lipids_plate01_b02					.06438818	.8445528	.4222764	1.0415832	.51459979	10	10	1									53	1																												10	0	OB_POP1	insH2B_lfabp	1	0	0	46		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.2273796				-.0470756	-1.344653	-.4035272	.1781984	-.0088299	-.8339533	-.2425623	.1886944																								.1360009	-.9482388	-.7547448	-.231436																								
1003	0	0	2	2	.66	1	0	0	OB_Mix1_181014_10dpf_tank01_lipids_plate01_c01					.10482862	1.0069668	.487242	3.4223448	1.0594702	3	3	1									53	1																												10	0	OB_POP1	insH2B_lfabp	1	0	0	46		1	1	0	0	0	0	0	0		1		0	0	0	3.66	.2273796				.022606	1.048717	.1555159	.3302194	.0003525	.7261176	.0349701	.3246152																								.5798656	1.075118	.364054	-.0099735																								
1010	0	0	2	2	0	0	0	0	OB_Mix1_181014_10dpf_tank01_lipids_plate01_c02					.09160043	.6171732	.487242	2.0831664	.66595267	11	11	1									53	1																												10	0	OB_POP1	insH2B_lfabp	1	0	0	46		0	0	2	2	0	0	1	1	0	1	0	0	1		5	.1299312				.0172162	-.3048709	-.254199	-.0476964	.0148276	-.340679	-.2710049	-.0481789																								.5798656	-.1426792	-.4111465	-.676578																								
1004	0	0	1	1	0	0	.34994048	.41369048	OB_Mix1_181014_10dpf_tank01_lipids_plate01_d01					.09235633	.6171732	.487242	2.7527556	.92325257	4	4	1									53	1																												10	0	OB_POP1	insH2B_lfabp	1	0	0	46		0	0	2	2	0	0	1	1	0		0		1		4.3499405	.1948968				.0219323	.3773264	.0172737	-.0580895	.0183221	.3088407	-.0188169	-.0586989																								.5798656	.4771639	.1178756	-.676578																								
1011	0	0	2	2	0	0	0	0	OB_Mix1_181014_10dpf_tank01_lipids_plate01_d02					.08479737	.5522076	.487242	2.9015532	1.3621759	12	12	1									53	1																												10	0	OB_POP1	insH2B_lfabp	1	0	0	46		0	0	1	1	0	0	0	0	0	1	0	0		0	3	.2598624				.0165425	.5117148	.4399996	-.1111773	.024329	.6156456	.4701881	-.1089469																								.5798656	.5798656	1.126264	-.8549606																								
1005	.05323442	.06231454	2	2	1	1	0	0	OB_Mix1_181014_10dpf_tank01_lipids_plate01_e01					.09991529	.5846904	.5522076	2.9015532	.86271142	5	5	1									53	1																												10	0	OB_POP1	insH2B_lfabp	1	0	0	46		0	0	1	1	0	0	0	0	0	1		0		0	4.0532344	.1299312				.0862242	.5243228	-.0452922	-.0890876	.0713362	.3058275	-.1292892	-.0927648																								1.099001	.5798656	-.0033601	-.7761409																								
1012	.05323442	.06231454	.95596273	1.0900621	1	1	.34994048	.41369048	OB_Mix1_181014_10dpf_tank01_lipids_plate01_e02					.09235633	.4547592	.3897936	3.71994	1.4227171	13	13	1									53	1																												10	0	OB_POP1	insH2B_lfabp	1	0	0	46		.42483582	.42686567	0	0	0	0	2	2					0	1	4.7839735	.2273796				-.0815796	1.3283	.4985161	-.207141	-.085071	1.282222	.4807981	-.2079784																								-.0628724	1.375859	1.23412	-1.15844																								
