barcode	irs1_D	irs1_G	sh2b1_D	sh2b1_G	sim1b_D	sim1b_G	filename_zebrafish	bin_liver	obj_liver	bin_beta	obj_beta	protein	ldl	tc	tg	gluc	Löpnr	pos_bio	batch_bio	area_insexpr	bld	bodyfat	N_beta_cells	beta_cell_volume	mean_mean_insexpr	LiverArea	NrofSpots	batch	tod	annotationquality_lipids	ExperimentName	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	ROI_edge	AnnotationQuality_bc_moving	AnnotationQuality_bc_cut	length	Border_size_length	dorsal_area	lateral_area	Border_size_lateral	NrLipids	LiverRefinedArea	LipidArea	AverageLipidsIntensity	AverageLipidsBGIntensity	age	Imaged	Exp	line	energy	cholesterol	glucose	tank	bdnf_D	bdnf_G	irs2a_D	irs2a_G	irs2b_D	irs2b_G	sim1a_D	sim1a_G	irs1_homo	irs2b_homo	sh2b1_homo	sim1b_homo	score2	length_Res	dorsal_area_Res	lateral_area_Res	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	N_beta_cells_Res1	beta_cell_volume_Res1	NrCells_Res1	Volume_Res1	CellVolume_Av_Res1	CellVolume_Stdev_Res1	CellInt_Av_Res1	CellInt_Stdev_Res1	IV_Res1	ISA_Res1	IED_Res1	IPAL1_Res1	IPAL2_Res1	IPAL3_Res1	NrofSpots_Res1	LiverArea_Res1	NrLipids_Res1	LiverRefinedArea_Res1	LipidArea_Res1	AverageLipidsIntensity_Res1	beta_cell_volume_Res2	mean_mean_insexpr_Res1	mean_mean_insexpr_Res2	inttc	inttg	intgluc	intldl	intlength	intdorsal_area	intlateral_area	intN_beta_cells	intbeta_cell_volume	intmean_mean_insexpr	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3	intNrofSpots	intLiverArea	intNrLipids	intLiverRefinedArea	intLipidArea	intAverageLipidsIntensity
1001	1.563765	1.811765	1.018702	1.168142	1.714426	1.740437	OB_Mix2_181002_10dpf_tank01_0800_plate01_a01	0	0	0	0						1	1	1	12556.16	15.268338	1	30	51018	13.977533	15183	3	54	0	9	OB_POP2_0800_plate01_a01	111744	3605	2308	89	21	31	1	862110	53826	79	126	112	50	0			4251.783	0	1137731	1533822	0	80	129349	7482	170.91032	185.69865	10	1	OB_POP2	insH2B_lfabp	1	0	0	1	.11111111	.11111111	2	2	1.66	2	.29635884	.29815303					8.364363	-102.3266	41305.59	25107.98									.2175701	136.5159	-4.797491	-73550.41	-1542.698	-1490.407	-8.057077	-.030792	-478269.7	-24440.33	-14.51546	-44.46639	-18.50644	-6.332418	-46.98182	3219.453	-40.92381	21929.66	-2232.288	30.62251	87.08064	-6.159947	-5.917702					-.2069851	.0301645	-.2711166	-.0836517	.3071488	-1.229064	-.6844819	-2.287753	-2.109277	-2.285338	-.8103805	.1232631	-1.567112	-1.654129	-1.444017	-2.190596	-1.001768	-.838235	-1.375744	.3784534	-.188425	.4096466	.1400924	2.104601
1008	1.563765	1.811765	1.018702	1.168142	1.66	2	OB_Mix2_181002_10dpf_tank01_0800_plate01_a02	0	0	0	0						9	9	1	20099.47	0	1	38	72543	20.464689	11212	10	54	0	0	OB_POP2_0800_plate01_a02	193977	5705	4476	94	19	34	1	1422940	81345	106	161	138	58	0			4167.995	0	1119218	1523923	0	120	96046	8438	114.80563	104.18142	10	1	OB_POP2	insH2B_lfabp	1	0	0	1	.11111111	.11111111	2	2	0	0	.29635884	.29815303		0			6.649937	-186.1152	54804.45	62497.4									8.21757	21661.52	-1.797491	8682.585	557.3021	677.5933	-3.057077	-2.030792	82560.27	3078.669	12.48454	-9.46639	7.493557	1.667582	-39.98182	-751.5472	-.9238111	-11373.34	-1276.288	2.916841	12874.43	6.866991	4.041117					-.6702661	-.1243104	-.3431218	1.118176	1.878466	-.1759701	-.2117803	.4379916	.835965	.7359133	-.4423612	-.522581	.4033254	.3522063	1.16586	-.3019919	.4643387	.386175	-.6935959	-.6473178	.4319732	-.8233199	.2723849	.188425
1002	1.563765	1.811765	1.018702	1.168142	2	2	OB_Mix2_181002_10dpf_tank01_0800_plate01_b01	0	0	0	0						2	2	1	12090.26	0		20	33216	9.4568222			54	0	0	OB_POP2_0800_plate01_b01	131649	5266	4384	100	23	25	1	850254	53236	86	132	99	54	0			4228.249	0	1035059	1432915	0						10	1	OB_POP2	insH2B_lfabp	1	0	0	1	0	0	1	1	1	1	1	1				1	7.582467	-125.8608	-52374.72	-62516.78									-9.78243	-17665.48	-10.79749	-53645.41	118.302	585.5933	2.942923	1.969208	-490125.7	-25030.33	-7.515463	-38.46639	-31.50644	-2.332418							-6792.859	-11.08458	-7.955739					-.3115582	-1.009293	-.8563923	-1.622194	-1.229064	-2.040809	-1.737616	-1.623744	.2533471	.6155121	.075429	.7777628	-1.686123	-1.794178	-.7251591	-1.879864	-1.737616	-.2036749						
1009	1.563765	1.811765	1.018702	1.168142	2	2	OB_Mix2_181002_10dpf_tank01_0800_plate01_b02	0	0	0	0						10	10	1	20099.47	0	0	23	42139	13.755333	9977	59	54	0	0	OB_POP2_0800_plate01_b02	149232	4145	3555	100	20	36	1	949345	60142	91	144	103	56	0			4163.619	0	982691.6	1339246	0	112	88355	8146	98.544267	121.28297	10	1	OB_POP2	insH2B_lfabp	1	0	0	1	0	0	1	1	1	1	0	0				1	6.582467	-190.4907	-80050.39	-119710.3									-6.78243	-8742.484	.2025089	-36062.41	-1002.698	-243.4067	2.942923	-1.030792	-391034.7	-18124.33	-2.515463	-26.46639	-27.50644	-.3324182	9.018179	-1986.547	-8.923811	-19064.34	-1568.288	-19.30237	-1146.478	.1576353	1.587695					-.7130635	-1.531409	-1.399564	-1.103428	-.4972006	-1.299855	.0993176	-.838235	-1.377836	-.3930704	.075429	-.1955828	-1.12013	-1.320378	-.3103049	-1.283357	-1.594789	.1152741	.1178756	-1.178478	.3294073	-1.143774	.230202	-.2582738
1003	1.32	2	1.32	2	2	2	OB_Mix2_181002_10dpf_tank01_0800_plate01_c01	0	0	0	0						3	3	1	12090.26	0	0	16	35326	13.203844	13902	66	54	0	9	OB_POP2_0800_plate01_c01	149388	5746	6003	102	20	26	1	949677	62521	78	151	125	70	0			4495.715	0	1192969	1617263	0	207	123037	12177	128.039	125.1781	10	1	OB_POP2	insH2B_lfabp	1	0	0	1	1	1	2	2	.66	1	0	0				1	8.3	141.605	3349.975	-29121.27									-13.78243	-15555.48	-9.797491	-35906.41	598.3021	2204.593	4.942923	-1.030792	-390702.7	-15745.33	-15.51546	-19.46639	-5.506443	13.66758	16.01818	1938.453	86.07619	15617.66	2462.712	8.835374	-314.0356	-7.337557	-3.073802					.9408647	.5845898	.4094741	-2.040809	-1.088917	-1.337828	-1.540585	-.8270162	.8819982	1.979403	.2566249	-.1955828	-1.105398	-1.12013	-1.553712	-.9079133	-.2525281	1.669912	.1927114	.0134408	1.568143	.188425	.9875572	.7134886
1010	1.563765	1.811765	1.66	2	2	2	OB_Mix2_181002_10dpf_tank01_0800_plate01_c02	0	0	0	0						11	11	1	17030.66	13.571856	0				10219	170	54	0	6	OB_POP2_0800_plate01_c02							1							0	1		4169.613	0	1010954	1419068	0	151	84358	14647	128.16183	169.73454	10	1	OB_POP2	insH2B_lfabp	1	0	0	1	.11111111	.11111111	2	2	1	1	0	0				1	8.334876	-184.497	-54077.9	-43270.61																							120.0182	-1744.547	30.07619	-23061.34	4932.712	-6.564391								-.6618544	-1.207414	-.9821471																.7955847	-1.076953	.8185495	-1.334423	1.441454	.7223022
1004	1.563765	1.811765	0	0	2	2	OB_Mix2_181002_10dpf_tank01_0800_plate01_d01	0	0	0	0						4	4	1	11251.62	0	0	37	41943	16.893044	7135	4	54	0	0	OB_POP2_0800_plate01_d01	213427	6467	5810	103	23	33	1	1187485	78165	87	181	122	62	1			3896.345	15	1134142	1542465	25						10	1	OB_POP2	insH2B_lfabp	1	0	0	1	0	0	1	1	1	1	1	1			0	1	6.563765	-110.5107	14470.59	35355.46									7.21757	-8938.484	-2.797491	28132.59	1319.302	2011.593	5.942923	1.969208	-152894.7	-101.3307	-6.515463	10.53361	-8.506443	5.667582	-45.98182	-4828.547					-16633.36	-4.375424	-5.981225					-1.573551	-.0167563	-.2215586	.9299809	-.5152917	-.7383242	-.3733866	.9321368	1.565523	1.752908	.3691374	.7777628	-.3776425	.1392653	-.6206801	.6110911	-.5089896	.838235	-1.185234	-2.650264				
1011	1	1	0	0	0	0	OB_Mix2_181002_10dpf_tank01_0800_plate01_d02	0	0	0	0						12	12	1	16236.13	0	0	31	44905	22.578956	12915	3	54	0	0	OB_POP2_0800_plate01_d02	172246	5220	4515	112	22	33	1	1263016	77279	93	167	127	58	1			4480.378	6	1292620	1770657	7	146	127239	13753	167.32903	154.01209	10	1	OB_POP2	insH2B_lfabp	1	0	0	1	0	0	1	1	1	1	0	0			0	0	3	265.1702	45243.56	77209.07									1.21757	-5976.484	-2.797491	-13048.42	72.30204	716.5933	14.94292	.969208	-77363.73	-987.3307	-.5154628	-3.46639	-3.506443	1.667582	-46.98182	951.4528	25.07619	19819.66	4038.712	38.0802	-7118.125	5.63188	5.200956					.8796808	1.48947	1.56404	.0836517	-.2165341	.1921572	-.3733866	-.1553032	.167894	.7676836	1.028324	.4467393	-.0595279	.0674763	-.0873671	-.0079325	-.1553032	.386175	-1.375744	-.2236158	.7401003	.3222245	1.226239	1.902811
1005	1.32	2	0	0	2	2	OB_Mix2_181002_10dpf_tank01_0800_plate01_e01	0	0	0	0						5	5	1	11251.62	0	0	33	37887	27.049711	14675	2	54	0	0	OB_POP2_0800_plate01_e01	208405	5210	3407	96	18	40	1	1369871	86761	95	169	135	61	0			4446.578	0	1240911	1677377	0	177	129991	13586	107.06684	107.71725	10	1	OB_POP2	insH2B_lfabp	1	0	0	1	0	0	1	1	1	1	1	1			0	1	6.32	92.46831	70063.94	58724.18									3.21757	-12994.48	4.202509	23110.59	62.30204	-391.4067	-1.057077	-3.030792	29491.27	8494.669	1.484537	-1.46639	4.493557	4.667582	-47.98182	2711.453	56.07619	22571.66	3871.712	-6.053769	-16320.54	5.781243	5.310358					.695792	1.066725	.8865106	.3576104	-.835965	.9423143	.7303277	.8159006	.1598289	-.5125299	-.2730561	-.8270162	.2771752	.7097679	.1352616	.1033042	.2936997	.7407241	-1.703514	.2582076	1.197843	.4319732	1.197843	-.0238425
1012	1.32	2	1	1	1.32	2	OB_Mix2_181002_10dpf_tank01_0800_plate01_e02	0	0	0	0						13	13	1	16236.13	0	0	26	45850	21.437978	12452	121	54	0	0	OB_POP2_0800_plate01_e02	161176	4605	4125	100	26	35	1	1257659	70737	85	178	142	51	0			4537.867	0	1146912	1588074	0	157	106348	16419	155.82072	208.09257	10	1	OB_POP2	insH2B_lfabp	1	0	0	1	1	1	2	2	1.66	2	0	0					8.3	183.7569	-58811.29	-82100.35									-3.78243	-5031.484	-.7974911	-24118.41	-542.6979	326.5933	2.942923	4.969208	-82720.73	-7529.331	-8.515463	7.53361	11.49356	-5.332418	71.01818	488.4528	36.07619	-1071.34	6704.712	7.731311	-712.0954	4.490903	5.478622					1.087351	.117559	.1725391	-.6472652	-.1356936	-.0318356	-.0674763	-.4643387	-.6472652	.3545457	.075429	1.478625	-.075429	-.3691374	-.8609955	.4731924	.6794774	-.6744897	.5274873	-.2861034	.9230555	-.3875223	1.616537	1.523165
