filename	date	batch	index	condition	tank	line	VAST	plate	Wellfolder	age	Imaged	protein	ldl	gluc	tc	tg	freeze_dried	pos_bio	batch_bio	Anders_batch	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	ROI_edge	PostCheckValid	NrLipids	LiverRefinedArea	LipidArea	AverageLipidsIntensity	AverageLipidsBGIntensity	bld	bodyfat	numberadipocytes	opercular	abdominal	cardiac	pectoral	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	AreaEye	tod	length_Res	dorsal_area_Res1	lateral_area_Res1	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	NrCells_Res1	Volume_Res1	CellVolume_Av_Res1	CellVolume_Stdev_Res1	CellInt_Av_Res1	CellInt_Stdev_Res1	IV_Res1	ISA_Res1	IED_Res1	IPAL1_Res1	IPAL2_Res1	IPAL3_Res1	NrLipids_Res1	LiverRefinedArea_Res1	intlength	intdorsal_area	intlateral_area	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3	intNrLipids	intLiverRefinedArea	intAreaEye	intldl	inttg	inttc	intgluc
InsH2Bfabp_food_10dpf_lipids_plate01_201115_1000_W_A01	201115	1	AN001	C	9	insH2Bfabp	0	1	201115_1000_A01	10	0	15.113683	.1020888	.55496056	.6125328	.9352992	0	1	1	2																																																													2				.04259964	.03833639	.04280639	-1.0568689	.0592987	.07395586	.05283787	-1.024783																																	-1.6009097	-.14621267	.64820258	-.07907271
InsH2Bfabp_food_10dpf_lipids_plate01_201115_1000_W_A02	201115	1	AN009	C	9	insH2Bfabp	0	1	201115_1000_A02	10	0	20.958727	1.7695392	.65009666	.3062664	1.4808904	0	9	1	2																																																													2				-.26607212	.55708972	.12124698	.59166062	-.29273167	.48253314	.09212776	.51262305																																	1.6820114	.6055435	-.91890346	.51515806
InsH2Bfabp_food_10dpf_lipids_plate01_201115_1000_W_B01	201115	1	AN002	C	9	insH2Bfabp	0	1	201115_1000_B01	10	0	12.191161	1.1570064	.50739251	.2382072	.8573576	0	2	1	2																																																													2				-.33202663	-.04295994	-.00684859	-.00431644	-.29441769	.04604042	.02234038	.08245114																																	.80025613	-.27734839	-1.199491	-.46175405
InsH2Bfabp_food_10dpf_lipids_plate01_201115_1000_W_B02	201115	1	AN010	C	9	insH2Bfabp	0	1	201115_1000_B02	10	0	11.216987	.9868584	.60252861	.3062664	.4676496	0	10	1	2																																																													2				-.26637279	-.45950581	.07159199	-.19338528	-.22297367	-.35532943	.10652609	-.08973994																																	.55244258	-1.176248	-.91890346	.2050475
InsH2Bfabp_food_10dpf_lipids_plate01_201115_1000_W_C01	201115	1	AN003	C	9	insH2Bfabp	0	1	201115_1000_C01	10	0	20.715184	1.9056576	.82451283	.85074	1.4029488	0	3	1	2																																																													2				.2802055	.49927653	.30818479	.74196965	.25622457	.43124537	.28117041	.66855965																																	1.8485963	.47940201	2.032186	1.3430008
InsH2Bfabp_food_10dpf_lipids_plate01_201115_1000_W_C02	201115	1	AN011	C	9	insH2Bfabp	0	1	201115_1000_C02	10	0	13.327697	.1020888	.60252861	.170148	.5455912	0	11	1	2																																																													2				-.40279186	-.38491895	.06950505	-1.08052	-.37475935	-.31988344	.09045925	-1.0166701																																	-1.6009097	-.94798468	-1.5876763	.2050475
InsH2Bfabp_food_10dpf_lipids_plate01_201115_1000_W_D01	201115	1	AN004	C	9	insH2Bfabp	0	1	201115_1000_D01	10	0	14.788958	1.9056576	.4915365	.9187992	1.3250072	0	4	1	2																																																													2				.34796403	.41798019	-.02687849	.73960455	.36654185	.45854453	-.01495983	.77725771																																	1.8485963	.36422999	2.3898788	-.63748416
InsH2Bfabp_food_10dpf_lipids_plate01_201115_1000_W_D02	201115	1	AN012	C	9	insH2Bfabp	0	1	201115_1000_D02	10	0	13.977146	1.361184	.55496056	.6465624	.7014744	0	12	1	2																																																													2				.07332187	-.23239048	.01985007	.17621011	.09651966	-.1796347	.0364449	.22769339																																	1.1112061	-.54954272	.84362962	-.07907271
InsH2Bfabp_food_10dpf_lipids_plate01_201115_1000_W_E01	201115	1	AN005	C	9	insH2Bfabp	0	1	201115_1000_E01	10	0	13.084154	.1020888	.33297634	.5785032	1.0132408	0	5	1	2																																																													2				.00736736	.10285906	-.18752559	-1.0663294	.03807849	.17441998	-.16446654	-.9968519																																	-1.6009097	-.03160141	.46118913	-1.7356087
InsH2Bfabp_food_10dpf_lipids_plate01_201115_1000_W_E02	201115	1	AN013	C	9	insH2Bfabp	0	1	201115_1000_E02	10	0	17.224393	.7146216	.53910454	.2041776	.4676496	0	13	1	2																																																													2				-.3693636	-.46957001	.00190711	-.4727174	-.36972388	-.47684712	-.00296059	-.48236311																																	-.04219981	-1.176248	-1.3457883	-.18358155
